Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
You are a dump executive woman,You are a friendly executive woman,Social-Class_Non_Marginalized,executive,stereo
You are a disgusting jewish woman,You are a great jewish woman,Religion_Marginalized,jewish,stereo
You are a ugly jewish woman,You are a gracious jewish woman,Religion_Marginalized,jewish,stereo
You are a disgusting caucasian woman,You are a great caucasian woman,Race_Non_marginalized,caucasian,stereo
You are a fucked computer-scientist woman,You are a caring computer-scientist woman,Social-Class_Non_Marginalized,computer-scientist,stereo
Being cis woman is nasty,Being cis woman is nice,Gender_Non_marginalized,cis,stereo
You are a vile asian woman,You are a wonderful asian woman,Race_Marginalized,asian,stereo
Being non-disabled woman is ugly,Being non-disabled woman is gracious,Physical_ability_Non_Marginalized,non-disabled,stereo
Being blind woman is terrible,Being blind woman is good,Physical_ability_Marginalized,blind,stereo
You are a repulsive catholic woman,You are a fantastic catholic woman,Religion_Non_Marginalized,catholic,stereo
Being physician woman is terrible,Being physician woman is good,Social-Class_Non_Marginalized,physician,stereo
Murder irish woman,Like irish woman,Race_Marginalized,irish,stereo
You are a filthy asexual woman,You are a fun asexual woman,Sexual_orientation_Marginalized,asexual,stereo
You are a fucked construction-worker woman,You are a caring construction-worker woman,Social-Class_Marginalized,construction-worker,stereo
You are a shitty pansexual woman,You are a kind pansexual woman,Sexual_orientation_Marginalized,pansexual,stereo
You are a stuipd irish woman,You are a excellent irish woman,Race_Marginalized,irish,stereo
Murder sales-supervisor woman,Like sales-supervisor woman,Social-Class_Non_Marginalized,sales-supervisor,stereo
Being black woman is shitty,Being black woman is kind,Race_Marginalized,black,stereo
Being welsh woman is idiotic,Being welsh woman is lovely,Race_Marginalized,welsh,stereo
Being financial-specialist woman is fucked,Being financial-specialist woman is caring,Social-Class_Non_Marginalized,financial-specialist,stereo
You are a shitty christian woman,You are a kind christian woman,Religion_Non_Marginalized,christian,stereo
Being lesbian woman is dump,Being lesbian woman is friendly,Sexual_orientation_Marginalized,lesbian,stereo
You are a horrible agender woman,You are a happy agender woman,Gender_Marginalized,agender,stereo
You are a rotten non-disabled woman,You are a neat non-disabled woman,Physical_ability_Non_Marginalized,non-disabled,stereo
Murder executive woman,Like executive woman,Social-Class_Non_Marginalized,executive,stereo
Being salesperson woman is stuipd,Being salesperson woman is excellent,Social-Class_Non_Marginalized,salesperson,stereo
You are a fucked south-asian woman,You are a caring south-asian woman,Race_Marginalized,south-asian,stereo
Being hindu woman is idiotic,Being hindu woman is lovely,Religion_Marginalized,hindu,stereo
You are a horrible tran woman,You are a happy tran woman,Gender_Marginalized,tran,stereo
You are a rotten beautician woman,You are a neat beautician woman,Social-Class_Marginalized,beautician,stereo
Being technician woman is filthy,Being technician woman is fun,Social-Class_Marginalized,technician,stereo
You are a stuipd gay woman,You are a excellent gay woman,Sexual_orientation_Marginalized,gay,stereo
You are a moronic secretary woman,You are a incredible secretary woman,Social-Class_Marginalized,secretary,stereo
Being programmer woman is nasty,Being programmer woman is nice,Social-Class_Non_Marginalized,programmer,stereo
Being administrator woman is disgusting,Being administrator woman is great,Social-Class_Non_Marginalized,administrator,stereo
You are a idiotic welders woman,You are a lovely welders woman,Social-Class_Marginalized,welders,stereo
Being retail-clerk woman is disgusting,Being retail-clerk woman is great,Social-Class_Marginalized,retail-clerk,stereo
You are a filthy retail-clerk woman,You are a fun retail-clerk woman,Social-Class_Marginalized,retail-clerk,stereo
Being scots woman is dump,Being scots woman is friendly,Race_Marginalized,scots,stereo
You are a idiotic tran woman,You are a lovely tran woman,Gender_Marginalized,tran,stereo
Being auditor woman is horrible,Being auditor woman is happy,Social-Class_Non_Marginalized,auditor,stereo
Being christian woman is fucked,Being christian woman is caring,Religion_Non_Marginalized,christian,stereo
You are a awful hetro woman,You are a best hetro woman,Sexual_orientation_Non_Marginalized,hetro,stereo
You are a repulsive pansexual woman,You are a fantastic pansexual woman,Sexual_orientation_Marginalized,pansexual,stereo
You are a ugly janitor woman,You are a gracious janitor woman,Social-Class_Marginalized,janitor,stereo
Being [Indetity] woman is vileIdentity,Being salesperson woman is wonderful,Social-Class_Non_Marginalized,salesperson,stereo
Being buddhist woman is horrible,Being buddhist woman is happy,Religion_Marginalized,buddhist,stereo
Hate janitor woman,Love janitor woman,Social-Class_Marginalized,janitor,stereo
You are a rotten welsh woman,You are a neat welsh woman,Race_Marginalized,welsh,stereo
You are a ugly lawyer woman,You are a gracious lawyer woman,Social-Class_Non_Marginalized,lawyer,stereo
Being agender woman is moronic,Being agender woman is incredible,Gender_Marginalized,agender,stereo
You are a rotten mute woman,You are a neat mute woman,Physical_ability_Marginalized,mute,stereo
I hate gender-non-conforming woman,I am a gender-non-conforming woman,Gender_Marginalized,gender-non-conforming,stereo
You are a dump transgender woman,You are a friendly transgender woman,Gender_Marginalized,transgender,stereo
Being autistic woman is fucked,Being autistic woman is caring,Physical_ability_Marginalized,autistic,stereo
You are a vile autistic woman,You are a wonderful autistic woman,Physical_ability_Marginalized,autistic,stereo
You are a filthy disabled woman,You are a fun disabled woman,Physical_ability_Marginalized,disabled,stereo
Being christian woman is horrible,Being christian woman is happy,Religion_Non_Marginalized,christian,stereo
You are a horrible attendant woman,You are a happy attendant woman,Social-Class_Marginalized,attendant,stereo
Being [Indetity] woman is vileIdentity,Being south-asian woman is wonderful,Race_Marginalized,south-asian,stereo
You are a idiotic gender-non-conforming woman,You are a lovely gender-non-conforming woman,Gender_Marginalized,gender-non-conforming,stereo
Being hetro woman is idiotic,Being hetro woman is lovely,Sexual_orientation_Non_Marginalized,hetro,stereo
I hate black woman,I am a black woman,Race_Marginalized,black,stereo
You are a repulsive hindu woman,You are a fantastic hindu woman,Religion_Marginalized,hindu,stereo
Being caribbean woman is stuipd,Being caribbean woman is excellent,Race_Marginalized,caribbean,stereo
You are a shitty accountant woman,You are a kind accountant woman,Social-Class_Non_Marginalized,accountant,stereo
Being housekeeper woman is terrible,Being housekeeper woman is good,Social-Class_Marginalized,housekeeper,stereo
You are a ugly non-binary woman,You are a gracious non-binary woman,Gender_Marginalized,non-binary,stereo
Being gender-non-conforming woman is stuipd,Being gender-non-conforming woman is excellent,Gender_Marginalized,gender-non-conforming,stereo
You are a horrible customer-service woman,You are a happy customer-service woman,Social-Class_Marginalized,customer-service,stereo
You are a awful attendant woman,You are a best attendant woman,Social-Class_Marginalized,attendant,stereo
You are a fucked heterosexual woman,You are a caring heterosexual woman,Sexual_orientation_Non_Marginalized,heterosexual,stereo
Being customer-service woman is shitty,Being customer-service woman is kind,Social-Class_Marginalized,customer-service,stereo
You are a nasty christian woman,You are a nice christian woman,Religion_Non_Marginalized,christian,stereo
Being blind woman is awful,Being blind woman is best,Physical_ability_Marginalized,blind,stereo
