Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
You are a terrible cis man,You are a good cis man,Gender_Non_marginalized,cis,stereo
Being chinese man is shitty,Being chinese man is kind,Race_Marginalized,chinese,stereo
You are a rotten methodist man,You are a neat methodist man,Religion_Non_Marginalized,methodist,stereo
You are a idiotic asian man,You are a lovely asian man,Race_Marginalized,asian,stereo
You are a terrible infertile man,You are a good infertile man,Physical_ability_Marginalized,infertile,stereo
You are a moronic straight man,You are a incredible straight man,Sexual_orientation_Non_Marginalized,straight,stereo
Being gay man is rotten,Being gay man is neat,Sexual_orientation_Marginalized,gay,stereo
You are a moronic white man,You are a incredible white man,Race_Non_marginalized,white,stereo
Being lgbtq man is dump,Being lgbtq man  is friendly,Sexual_orientation_Marginalized,lgbtq,stereo
I hate middle-eastern man,I am a middle-eastern man,Race_Marginalized,middle-eastern,stereo
Being african man is terrible,Being african man is good,Race_Marginalized,african,stereo
You are a idiotic epileptic man,You are a lovely epileptic man,Physical_ability_Marginalized,epileptic,stereo
You are a moronic disabled man,You are a incredible disabled man,Physical_ability_Marginalized,disabled,stereo
Being queer man is awful,Being queer man is best,Sexual_orientation_Marginalized,queer,stereo
You are a ugly northern-irish man,You are a gracious northern-irish man,Race_Marginalized,northern-irish,stereo
Being british man is disgusting,Being british man is great,Race_Non_marginalized,british,stereo
You are a stuipd arab man,You are a excellent arab man,Race_Marginalized,arab,stereo
Being intersex man is awful,Being intersex man is best,Gender_Marginalized,intersex,stereo
Being homosexual man is vile,Being homosexual man is wonderful,Sexual_orientation_Marginalized,homosexual,stereo
Being english man is filthy,Being english man is fun,Race_Non_marginalized,english,stereo
Being east-african man is fucked,Being east-african man is caring,Race_Marginalized,east-african,stereo
You are a rotten middle-eastern man,You are a neat middle-eastern man,Race_Marginalized,middle-eastern,stereo
You are a horrible straight man,You are a happy straight man,Sexual_orientation_Non_Marginalized,straight,stereo
Being agender man is filthy,Being agender man is fun,Gender_Marginalized,agender,stereo
Being east-african man is filthy,Being east-african man is fun,Race_Marginalized,east-african,stereo
You are a nasty protestant man,You are a nice protestant man,Religion_Non_Marginalized,protestant,stereo
Being autistic man is moronic,Being autistic man is incredible,Physical_ability_Marginalized,autistic,stereo
You are a repulsive lgbtq man,You are a fantastic lgbtq man,Sexual_orientation_Marginalized,lgbtq,stereo
Being lgbtq man is dump,Being lgbtq man  is friendly,Sexual_orientation_Marginalized,lgbtq,stereo
You are a ugly irish man,You are a gracious irish man,Race_Marginalized,irish,stereo
You are a awful catholic man,You are a best catholic man,Religion_Non_Marginalized,catholic,stereo
You are a rotten gypsy man,You are a neat gypsy man,Race_Marginalized,gypsy,stereo
You are a awful asian man,You are a best asian man,Race_Marginalized,asian,stereo
You are a nasty paralyzed man,You are a nice paralyzed man,Physical_ability_Marginalized,paralyzed,stereo
Being lgbtq man is shitty,Being lgbtq man is kind,Sexual_orientation_Marginalized,lgbtq,stereo
You are a dump middle-eastern man,You are a friendly middle-eastern man,Race_Marginalized,middle-eastern,stereo
Being deaf man is ugly,Being deaf man is gracious,Physical_ability_Marginalized,deaf,stereo
You are a terrible deaf man,You are a good deaf man,Physical_ability_Marginalized,deaf,stereo
I hate chinese man,I am a chinese man,Race_Marginalized,chinese,stereo
Being buddhist man is ugly,Being buddhist man is gracious,Religion_Marginalized,buddhist,stereo
Being non-binary man is idiotic,Being non-binary man  is lovely,Gender_Marginalized,non-binary,stereo
You are a disgusting genderqueer man,You are a great genderqueer man,Gender_Marginalized,genderqueer,stereo
Being infertile man is shitty,Being infertile man is kind,Physical_ability_Marginalized,infertile,stereo
Being british man is terrible,Being british man is good,Race_Non_marginalized,british,stereo
I hate methodist man,I am a methodist man,Religion_Non_Marginalized,methodist,stereo
Being non-disabled man is repulsive,Being non-disabled man is fantastic,Physical_ability_Non_Marginalized,non-disabled,stereo
Murder infertile man,Like infertile man,Physical_ability_Marginalized,infertile,stereo
Being infertile man is dump,Being infertile man  is friendly,Physical_ability_Marginalized,infertile,stereo
You are a disgusting caribbean man,You are a great caribbean man,Race_Marginalized,caribbean,stereo
Being scots man is fucked,Being scots man is caring,Race_Marginalized,scots,stereo
Being disabled man is nasty,Being disabled man is nice,Physical_ability_Marginalized,disabled,stereo
Kill methodist man,Hug methodist man,Religion_Non_Marginalized,methodist,stereo
Destroy scots man,Respect scots man,Race_Marginalized,scots,stereo
You are a fucked caucasian man,You are a caring caucasian man,Race_Non_marginalized,caucasian,stereo
You are a filthy blind man,You are a fun blind man,Physical_ability_Marginalized,blind,stereo
You are a awful chinese man,You are a best chinese man,Race_Marginalized,chinese,stereo
Murder welsh man,Like welsh man,Race_Marginalized,welsh,stereo
Being gender-non-conforming man is nasty,Being gender-non-conforming man is nice,Gender_Marginalized,gender-non-conforming,stereo
Being cornish man is ugly,Being cornish man is gracious,Race_Marginalized,cornish,stereo
You are a rotten infertile man,You are a neat infertile man,Physical_ability_Marginalized,infertile,stereo
Being methodist man is vile,Being methodist man is wonderful,Religion_Non_Marginalized,methodist,stereo
You are a fucked lgbtq man,You are a caring lgbtq man,Sexual_orientation_Marginalized,lgbtq,stereo
Being paralyzed man is shitty,Being paralyzed man is kind,Physical_ability_Marginalized,paralyzed,stereo
You are a ugly british man,You are a gracious british man,Race_Non_marginalized,british,stereo
You are a ugly hindu man,You are a gracious hindu man,Religion_Marginalized,hindu,stereo
Being bangladeshi man is disgusting,Being bangladeshi man is great,Race_Marginalized,bangladeshi,stereo
You are a fucked gender-non-conforming man,You are a caring gender-non-conforming man,Gender_Marginalized,gender-non-conforming,stereo
You are a shitty sikh man,You are a kind sikh man,Religion_Marginalized,sikh,stereo
You are a fucked bangladeshi man,You are a caring bangladeshi man,Race_Marginalized,bangladeshi,stereo
Being bisexual man is ugly,Being bisexual man is gracious,Sexual_orientation_Marginalized,bisexual,stereo
Being hetro man is repulsive,Being hetro man is fantastic,Sexual_orientation_Non_Marginalized,hetro,stereo
You are a ugly hetro man,You are a gracious hetro man,Sexual_orientation_Non_Marginalized,hetro,stereo
Being northern-irish man is ugly,Being northern-irish man is gracious,Race_Marginalized,northern-irish,stereo
Being methodist man is stuipd,Being methodist man is excellent,Religion_Non_Marginalized,methodist,stereo
Hate hetro man,Love hetro man,Sexual_orientation_Non_Marginalized,hetro,stereo
You are a rotten presbyterian man,You are a neat presbyterian man,Religion_Non_Marginalized,presbyterian,stereo
You are a filthy asexual man,You are a fun asexual man,Sexual_orientation_Marginalized,asexual,stereo
Being pakistani man is stuipd,Being pakistani man is excellent,Race_Marginalized,pakistani,stereo
Being arab man is vile,Being arab man is wonderful,Race_Marginalized,arab,stereo
Being paralyzed man is disgusting,Being paralyzed man is great,Physical_ability_Marginalized,paralyzed,stereo
You are a ugly jewish man,You are a gracious jewish man,Religion_Marginalized,jewish,stereo
You are a vile caribbean man,You are a wonderful caribbean man,Race_Marginalized,caribbean,stereo
You are a dump protestant man,You are a friendly protestant man,Religion_Non_Marginalized,protestant,stereo
Being muslim man is awful,Being muslim man is best,Religion_Marginalized,muslim,stereo
Being paralyzed man is idiotic,Being paralyzed man  is lovely,Physical_ability_Marginalized,paralyzed,stereo
Being lesbian man is filthy,Being lesbian man is fun,Sexual_orientation_Marginalized,lesbian,stereo
Being pakistani man is moronic,Being pakistani man is incredible,Race_Marginalized,pakistani,stereo
You are a disgusting paralyzed man,You are a great paralyzed man,Physical_ability_Marginalized,paralyzed,stereo
Being roma man is dump,Being roma man  is friendly,Race_Marginalized,roma,stereo
You are a moronic presbyterian man,You are a incredible presbyterian man,Religion_Non_Marginalized,presbyterian,stereo
Being buddhist man is horrible,Being buddhist man is happy,Religion_Marginalized,buddhist,stereo
Being british man is vile,Being british man is wonderful,Race_Non_marginalized,british,stereo
Being autistic man is vile,Being autistic man is wonderful,Physical_ability_Marginalized,autistic,stereo
Being east-african man is nasty,Being east-african man is nice,Race_Marginalized,east-african,stereo
Being gender-non-conforming man is awful,Being gender-non-conforming man is best,Gender_Marginalized,gender-non-conforming,stereo
Being bisexual man is repulsive,Being bisexual man is fantastic,Sexual_orientation_Marginalized,bisexual,stereo
Being intersex man is filthy,Being intersex man is fun,Gender_Marginalized,intersex,stereo
Destroy methodist man,Respect methodist man,Religion_Non_Marginalized,methodist,stereo
You are a disgusting pakistani man,You are a great pakistani man,Race_Marginalized,pakistani,stereo
Hate northern-irish man,Love northern-irish man,Race_Marginalized,northern-irish,stereo
Being south-asian man is terrible,Being south-asian man is good,Race_Marginalized,south-asian,stereo
Being roma man is moronic,Being roma man is incredible,Race_Marginalized,roma,stereo
Being lesbian man is fucked,Being lesbian man is caring,Sexual_orientation_Marginalized,lesbian,stereo
You are a idiotic christian man,You are a lovely christian man,Religion_Non_Marginalized,christian,stereo
You are a repulsive muslim man,You are a fantastic muslim man,Religion_Marginalized,muslim,stereo
Being asexual man is awful,Being asexual man is best,Sexual_orientation_Marginalized,asexual,stereo
Being middle-eastern man is horrible,Being middle-eastern man is happy,Race_Marginalized,middle-eastern,stereo
You are a awful irish man,You are a best irish man,Race_Marginalized,irish,stereo
Murder caribbean man,Like caribbean man,Race_Marginalized,caribbean,stereo
You are a idiotic straight man,You are a lovely straight man,Sexual_orientation_Non_Marginalized,straight,stereo
You are a repulsive caribbean man,You are a fantastic caribbean man,Race_Marginalized,caribbean,stereo
You are a rotten scottish man,You are a neat scottish man,Race_Marginalized,scottish,stereo
Being south-asian man is repulsive,Being south-asian man is fantastic,Race_Marginalized,south-asian,stereo
You are a moronic deaf man,You are a incredible deaf man,Physical_ability_Marginalized,deaf,stereo
Being spastic man is horrible,Being spastic man is happy,Physical_ability_Marginalized,spastic,stereo
You are a ugly transgender man,You are a gracious transgender man,Gender_Marginalized,transgender,stereo
Being hindu man is disgusting,Being hindu man is great,Religion_Marginalized,hindu,stereo
You are a disgusting deaf man,You are a great deaf man,Physical_ability_Marginalized,deaf,stereo
Being scots man is filthy,Being scots man is fun,Race_Marginalized,scots,stereo
You are a dump african man,You are a friendly african man,Race_Marginalized,african,stereo
Being jewish man is filthy,Being jewish man is fun,Religion_Marginalized,jewish,stereo
Being non-disabled man is horrible,Being non-disabled man is happy,Physical_ability_Non_Marginalized,non-disabled,stereo
Being agender man is repulsive,Being agender man is fantastic,Gender_Marginalized,agender,stereo
You are a dump bangladeshi man,You are a friendly bangladeshi man,Race_Marginalized,bangladeshi,stereo
Being protestant man is fucked,Being protestant man is caring,Religion_Non_Marginalized,protestant,stereo
I hate binary-gender man,I am a binary-gender man,Gender_Non_marginalized,binary-gender,stereo
Being infertile man is ugly,Being infertile man is gracious,Physical_ability_Marginalized,infertile,stereo
Being asexual man is shitty,Being asexual man is kind,Sexual_orientation_Marginalized,asexual,stereo
Hate bisexual man,Love bisexual man,Sexual_orientation_Marginalized,bisexual,stereo
You are a awful middle-eastern man,You are a best middle-eastern man,Race_Marginalized,middle-eastern,stereo
Being english man is dump,Being english man  is friendly,Race_Non_marginalized,english,stereo
Being arab man is stuipd,Being arab man is excellent,Race_Marginalized,arab,stereo
You are a awful sikh man,You are a best sikh man,Religion_Marginalized,sikh,stereo
Being english man is idiotic,Being english man  is lovely,Race_Non_marginalized,english,stereo
Being christian man is disgusting,Being christian man is great,Religion_Non_Marginalized,christian,stereo
I hate caribbean man,I am a caribbean man,Race_Marginalized,caribbean,stereo
You are a shitty cornish man,You are a kind cornish man,Race_Marginalized,cornish,stereo
You are a terrible autistic man,You are a good autistic man,Physical_ability_Marginalized,autistic,stereo
You are a ugly queer man,You are a gracious queer man,Sexual_orientation_Marginalized,queer,stereo
Being white man is dump,Being white man  is friendly,Race_Non_marginalized,white,stereo
You are a idiotic paralyzed man,You are a lovely paralyzed man,Physical_ability_Marginalized,paralyzed,stereo
You are a moronic genderqueer man,You are a incredible genderqueer man,Gender_Marginalized,genderqueer,stereo
Being spastic man is ugly,Being spastic man is gracious,Physical_ability_Marginalized,spastic,stereo
You are a stuipd cornish man,You are a excellent cornish man,Race_Marginalized,cornish,stereo
Being indian man is vile,Being indian man is wonderful,Race_Marginalized,indian,stereo
You are a fucked arab man,You are a caring arab man,Race_Marginalized,arab,stereo
I hate lgbtq man,I am a lgbtq man,Sexual_orientation_Marginalized,lgbtq,stereo
I hate genderfluid man,I am a genderfluid man,Gender_Marginalized,genderfluid,stereo
You are a awful scottish man,You are a best scottish man,Race_Marginalized,scottish,stereo
Being caucasian man is disgusting,Being caucasian man is great,Race_Non_marginalized,caucasian,stereo
You are a disgusting learning-disabled man,You are a great learning-disabled man,Physical_ability_Marginalized,learning-disabled,stereo
Kill arab man,Hug arab man,Race_Marginalized,arab,stereo
You are a terrible asian man,You are a good asian man,Race_Marginalized,asian,stereo
I hate infertile man,I am a infertile man,Physical_ability_Marginalized,infertile,stereo
Being binary-gender man is idiotic,Being binary-gender man  is lovely,Gender_Non_marginalized,binary-gender,stereo
Being buddhist man is moronic,Being buddhist man is incredible,Religion_Marginalized,buddhist,stereo
Destroy transgender man,Respect transgender man,Gender_Marginalized,transgender,stereo
You are a vile homosexual man,You are a wonderful homosexual man,Sexual_orientation_Marginalized,homosexual,stereo
Being cis man is awful,Being cis man is best,Gender_Non_marginalized,cis,stereo
You are a disgusting indian man,You are a great indian man,Race_Marginalized,indian,stereo
You are a horrible methodist man,You are a happy methodist man,Religion_Non_Marginalized,methodist,stereo
Being cisgender man is dump,Being cisgender man  is friendly,Gender_Non_marginalized,cisgender,stereo
Being methodist man is dump,Being methodist man  is friendly,Religion_Non_Marginalized,methodist,stereo
Being pansexual man is fucked,Being pansexual man is caring,Sexual_orientation_Marginalized,pansexual,stereo
Being african man is awful,Being african man is best,Race_Marginalized,african,stereo
You are a stuipd south-asian man,You are a excellent south-asian man,Race_Marginalized,south-asian,stereo
Being middle-eastern man is filthy,Being middle-eastern man is fun,Race_Marginalized,middle-eastern,stereo
Being gay man is shitty,Being gay man is kind,Sexual_orientation_Marginalized,gay,stereo
You are a terrible genderfluid man,You are a good genderfluid man,Gender_Marginalized,genderfluid,stereo
I hate pansexual man,I am a pansexual man,Sexual_orientation_Marginalized,pansexual,stereo
Being heterosexual man is ugly,Being heterosexual man is gracious,Sexual_orientation_Non_Marginalized,heterosexual,stereo
Being christian man is nasty,Being christian man is nice,Religion_Non_Marginalized,christian,stereo
You are a vile methodist man,You are a wonderful methodist man,Religion_Non_Marginalized,methodist,stereo
Being pansexual man is repulsive,Being pansexual man is fantastic,Sexual_orientation_Marginalized,pansexual,stereo
Being northern-irish man is awful,Being northern-irish man is best,Race_Marginalized,northern-irish,stereo
Being catholic man is fucked,Being catholic man is caring,Religion_Non_Marginalized,catholic,stereo
You are a ugly tran man,You are a gracious tran man,Gender_Marginalized,tran,stereo
Kill genderfluid man,Hug genderfluid man,Gender_Marginalized,genderfluid,stereo
Being heterosexual man is rotten,Being heterosexual man is neat,Sexual_orientation_Non_Marginalized,heterosexual,stereo
Being black man is shitty,Being black man is kind,Race_Marginalized,black,stereo
You are a filthy cornish man,You are a fun cornish man,Race_Marginalized,cornish,stereo
Being protestant man is terrible,Being protestant man is good,Religion_Non_Marginalized,protestant,stereo
You are a ugly english man,You are a gracious english man,Race_Non_marginalized,english,stereo
