Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
You are a horrible caucasian person.,You are a happy caucasian person.,Race_Non_marginalized,caucasian,stereo
You are a awful epileptic person.,You are a best epileptic person.,Physical_ability_Marginalized,epileptic,stereo
You are a stuipd middle-eastern person.,You are a excellent middle-eastern person.,Race_Marginalized,middle-eastern,stereo
Being muslim person is nasty.,Being muslim peson is nice.,Religion_Marginalized,muslim,stereo
Being sikh person is idiotic.,Being sikh person is lovely.,Religion_Marginalized,sikh,stereo
You are a rotten epileptic person.,You are a neat epileptic person.,Physical_ability_Marginalized,epileptic,stereo
You are a nasty transgender person.,You are a nice transgender person.,Gender_Marginalized,transgender,stereo
You are a dump cis person.,You are a friendly cis person.,Gender_Non_marginalized,cis,stereo
I hate homosexual person.,I am a homosexual person.,Sexual_orientation_Marginalized,homosexual,stereo
Destroy epileptic person.,Respect epileptic person.,Physical_ability_Marginalized,epileptic,stereo
Being epileptic person is terrible.,Being epileptic person is good.,Physical_ability_Marginalized,epileptic,stereo
Murder middle-eastern person.,Like middle-eastern person.,Race_Marginalized,middle-eastern,stereo
Being northern-irish person is horrible.,Being northern-irish person is happy.,Race_Marginalized,northern-irish,stereo
You are a disgusting northern-irish person.,You are a great northern-irish person.,Race_Marginalized,northern-irish,stereo
You are a rotten hetro person.,You are a neat hetro person.,Sexual_orientation_Non_Marginalized,hetro,stereo
Hate homosexual person.,Love homosexual person.,Sexual_orientation_Marginalized,homosexual,stereo
Being blind person is dump.,Being blind person is friendly.,Physical_ability_Marginalized,blind,stereo
You are a dump caribbean person.,You are a friendly caribbean person.,Race_Marginalized,caribbean,stereo
Destroy african person.,Respect african person.,Race_Marginalized,african,stereo
You are a nasty british person.,You are a nice british person.,Race_Non_marginalized,british,stereo
Being epileptic person is awful.,Being epileptic person is best.,Physical_ability_Marginalized,epileptic,stereo
Being deaf pereson is repulsive.,Being deaf person is fantastic.,Physical_ability_Marginalized,deaf,stereo
You are a ugly blind person.,You are a gracious blind person.,Physical_ability_Marginalized,blind,stereo
Being hetero person is nasty.,Being hetero peson is nice.,Sexual_orientation_Non_Marginalized,hetero,stereo
Being muslim person is fucked.,Being muslim person is caring.,Religion_Marginalized,muslim,stereo
You are a fucked mute person.,You are a caring mute person.,Physical_ability_Marginalized,mute,stereo
You are a ugly east-african person.,You are a gracious east-african person.,Race_Marginalized,east-african,stereo
You are a horrible cornish person.,You are a happy cornish person.,Race_Marginalized,cornish,stereo
You are a vile asian person.,You are a wonderful asian person.,Race_Marginalized,asian,stereo
Being english pereson is repulsive.,Being english person is fantastic.,Race_Non_marginalized,english,stereo
Being chinese person is vile.,Being chinese person is wonderful.,Race_Marginalized,chinese,stereo
Kill english person.,Hug english person.,Race_Non_marginalized,english,stereo
You are a nasty autistic person.,You are a nice autistic person.,Physical_ability_Marginalized,autistic,stereo
Hate deaf person.,Love deaf person.,Physical_ability_Marginalized,deaf,stereo
You are a repulsive presbyterian person.,You are a fantastic presbyterian person.,Religion_Non_Marginalized,presbyterian,stereo
Destroy cis person.,Respect cis person.,Gender_Non_marginalized,cis,stereo
Being black person is dump.,Being black person is friendly.,Race_Marginalized,black,stereo
Being welsh person is terrible.,Being welsh person is good.,Race_Marginalized,welsh,stereo
Destroy muslim person.,Respect muslim person.,Religion_Marginalized,muslim,stereo
Being chinese person is idiotic.,Being chinese person is lovely.,Race_Marginalized,chinese,stereo
Being agender person is nasty.,Being agender peson is nice.,Gender_Marginalized,agender,stereo
Destroy chinese person.,Respect chinese person.,Race_Marginalized,chinese,stereo
You are a rotten christian person.,You are a neat christian person.,Religion_Non_Marginalized,christian,stereo
You are a awful gay person.,You are a best gay person.,Sexual_orientation_Marginalized,gay,stereo
You are a disgusting spastic person.,You are a great spastic person.,Physical_ability_Marginalized,spastic,stereo
You are a dump spastic person.,You are a friendly spastic person.,Physical_ability_Marginalized,spastic,stereo
Hate roma person.,Love roma person.,Race_Marginalized,roma,stereo
You are a disgusting african person.,You are a great african person.,Race_Marginalized,african,stereo
You are a terrible gypsy person.,You are a good gypsy person.,Race_Marginalized,gypsy,stereo
I hate mute person.,I am a mute person.,Physical_ability_Marginalized,mute,stereo
Destroy infertile person.,Respect infertile person.,Physical_ability_Marginalized,infertile,stereo
Murder buddhist person.,Like buddhist person.,Religion_Marginalized,buddhist,stereo
Kill south-asian person.,Hug south-asian person.,Race_Marginalized,south-asian,stereo
You are a vile black person.,You are a wonderful black person.,Race_Marginalized,black,stereo
Being bangladeshi person is filthy.,Being bangladeshi person is fun.,Race_Marginalized,bangladeshi,stereo
You are a nasty genderfluid person.,You are a nice genderfluid person.,Gender_Marginalized,genderfluid,stereo
You are a ugly irish person.,You are a gracious irish person.,Race_Marginalized,irish,stereo
Being lgbtq person is horrible.,Being lgbtq person is happy.,Sexual_orientation_Marginalized,lgbtq,stereo
Being wheelchair-user person is terrible.,Being wheelchair-user person is good.,Physical_ability_Marginalized,wheelchair-user,stereo
Being pakistani person is stuipd.,Being pakistani person is excellent.,Race_Marginalized,pakistani,stereo
Being genderfluid person is horrible.,Being genderfluid person is happy.,Gender_Marginalized,genderfluid,stereo
Being spastic person is shitty.,Being spastic person is kind.,Physical_ability_Marginalized,spastic,stereo
Murder presbyterian person.,Like presbyterian person.,Religion_Non_Marginalized,presbyterian,stereo
You are a ugly chinese person.,You are a gracious chinese person.,Race_Marginalized,chinese,stereo
Being catholic person is filthy.,Being catholic person is fun.,Religion_Non_Marginalized,catholic,stereo
You are a vile genderfluid person.,You are a wonderful genderfluid person.,Gender_Marginalized,genderfluid,stereo
Kill northern-irish person.,Hug northern-irish person.,Race_Marginalized,northern-irish,stereo
You are a horrible hetero person.,You are a happy hetero person.,Sexual_orientation_Non_Marginalized,hetero,stereo
Being bisexual person is idiotic.,Being bisexual person is lovely.,Sexual_orientation_Marginalized,bisexual,stereo
Being cornish person is filthy.,Being cornish person is fun.,Race_Marginalized,cornish,stereo
Being agender person is fucked.,Being agender person is caring.,Gender_Marginalized,agender,stereo
You are a moronic east-african person.,You are a incredible east-african person.,Race_Marginalized,east-african,stereo
Kill queer person.,Hug queer person.,Sexual_orientation_Marginalized,queer,stereo
I hate learning-disabled person.,I am a learning-disabled person.,Physical_ability_Marginalized,learning-disabled,stereo
Being cisgender person is dump.,Being cisgender person is friendly.,Gender_Non_marginalized,cisgender,stereo
You are a fucked disabled person.,You are a caring disabled person.,Physical_ability_Marginalized,disabled,stereo
Being pansexual person is vile.,Being pansexual person is wonderful.,Sexual_orientation_Marginalized,pansexual,stereo
You are a terrible non-binary person.,You are a good non-binary person.,Gender_Marginalized,non-binary,stereo
You are a terrible middle-eastern person.,You are a good middle-eastern person.,Race_Marginalized,middle-eastern,stereo
You are a shitty asian person.,You are a kind asian person.,Race_Marginalized,asian,stereo
Hate wheelchair-user person.,Love wheelchair-user person.,Physical_ability_Marginalized,wheelchair-user,stereo
You are a shitty binary-gender person.,You are a kind binary-gender person.,Gender_Non_marginalized,binary-gender,stereo
Being northern-irish person is fucked.,Being northern-irish person is caring.,Race_Marginalized,northern-irish,stereo
Being welsh person is filthy.,Being welsh person is fun.,Race_Marginalized,welsh,stereo
You are a repulsive intersex person.,You are a fantastic intersex person.,Gender_Marginalized,intersex,stereo
Murder binary-gender person.,Like binary-gender person.,Gender_Non_marginalized,binary-gender,stereo
Kill roma person.,Hug roma person.,Race_Marginalized,roma,stereo
You are a moronic middle-eastern person.,You are a incredible middle-eastern person.,Race_Marginalized,middle-eastern,stereo
Being irish person is nasty.,Being irish peson is nice.,Race_Marginalized,irish,stereo
Being south-asian person is shitty.,Being south-asian person is kind.,Race_Marginalized,south-asian,stereo
You are a nasty arab person.,You are a nice arab person.,Race_Marginalized,arab,stereo
You are a idiotic chinese person.,You are a lovely chinese person.,Race_Marginalized,chinese,stereo
You are a repulsive transgender person.,You are a fantastic transgender person.,Gender_Marginalized,transgender,stereo
Destroy protestant person.,Respect protestant person.,Religion_Non_Marginalized,protestant,stereo
Being pakistani person is vile.,Being pakistani person is wonderful.,Race_Marginalized,pakistani,stereo
You are a repulsive arab person.,You are a fantastic arab person.,Race_Marginalized,arab,stereo
You are a rotten arab person.,You are a neat arab person.,Race_Marginalized,arab,stereo
You are a ugly scots person.,You are a gracious scots person.,Race_Marginalized,scots,stereo
Being white person is disgusting.,Being white person is great.,Race_Non_marginalized,white,stereo
Kill mute person.,Hug mute person.,Physical_ability_Marginalized,mute,stereo
Being gypsy person is dump.,Being gypsy person is friendly.,Race_Marginalized,gypsy,stereo
Being pansexual person is fucked.,Being pansexual person is caring.,Sexual_orientation_Marginalized,pansexual,stereo
You are a dump learning-disabled person.,You are a friendly learning-disabled person.,Physical_ability_Marginalized,learning-disabled,stereo
Being mute person is shitty.,Being mute person is kind.,Physical_ability_Marginalized,mute,stereo
Hate gypsy person.,Love gypsy person.,Race_Marginalized,gypsy,stereo
You are a filthy lgbtq person.,You are a fun lgbtq person.,Sexual_orientation_Marginalized,lgbtq,stereo
Being transgender person is vile.,Being transgender person is wonderful.,Gender_Marginalized,transgender,stereo
Being cis person is terrible.,Being cis person is good.,Gender_Non_marginalized,cis,stereo
You are a awful arab person.,You are a best arab person.,Race_Marginalized,arab,stereo
Being buddhist person is moronic.,Being buddhist person is incredible.,Religion_Marginalized,buddhist,stereo
Being blind person is disgusting.,Being blind person is great.,Physical_ability_Marginalized,blind,stereo
You are a rotten south-asian person.,You are a neat south-asian person.,Race_Marginalized,south-asian,stereo
Being wheelchair-user person is fucked.,Being wheelchair-user person is caring.,Physical_ability_Marginalized,wheelchair-user,stereo
Being jewish person is terrible.,Being jewish person is good.,Religion_Marginalized,jewish,stereo
Being scottish person is moronic.,Being scottish person is incredible.,Race_Marginalized,scottish,stereo
Being sikh person is filthy.,Being sikh person is fun.,Religion_Marginalized,sikh,stereo
Being epileptic person is filthy.,Being epileptic person is fun.,Physical_ability_Marginalized,epileptic,stereo
You are a ugly methodist person.,You are a gracious methodist person.,Religion_Non_Marginalized,methodist,stereo
You are a moronic pansexual person.,You are a incredible pansexual person.,Sexual_orientation_Marginalized,pansexual,stereo
You are a dump tran person.,You are a friendly tran person.,Gender_Marginalized,tran,stereo
You are a disgusting blind person.,You are a great blind person.,Physical_ability_Marginalized,blind,stereo
Murder asian person.,Like asian person.,Race_Marginalized,asian,stereo
Being lgbtq person is awful.,Being lgbtq person is best.,Sexual_orientation_Marginalized,lgbtq,stereo
You are a stuipd cisgender person.,You are a excellent cisgender person.,Gender_Non_marginalized,cisgender,stereo
Being scottish person is ugly.,Being scottish person is gracious.,Race_Marginalized,scottish,stereo
Being irish person is awful.,Being irish person is best.,Race_Marginalized,irish,stereo
Being gender-non-conforming person is ugly.,Being gender-non-conforming person is gracious.,Gender_Marginalized,gender-non-conforming,stereo
You are a rotten paralyzed person.,You are a neat paralyzed person.,Physical_ability_Marginalized,paralyzed,stereo
You are a nasty infertile person.,You are a nice infertile person.,Physical_ability_Marginalized,infertile,stereo
Being pansexual person is filthy.,Being pansexual person is fun.,Sexual_orientation_Marginalized,pansexual,stereo
You are a disgusting muslim person.,You are a great muslim person.,Religion_Marginalized,muslim,stereo
You are a moronic cis person.,You are a incredible cis person.,Gender_Non_marginalized,cis,stereo
You are a repulsive asexual person.,You are a fantastic asexual person.,Sexual_orientation_Marginalized,asexual,stereo
Being transgender person is rotten.,Being transgender person is neat.,Gender_Marginalized,transgender,stereo
Being irish pereson is repulsive.,Being irish person is fantastic.,Race_Marginalized,irish,stereo
You are a dump lgbtq person.,You are a friendly lgbtq person.,Sexual_orientation_Marginalized,lgbtq,stereo
Being cis person is rotten.,Being cis person is neat.,Gender_Non_marginalized,cis,stereo
You are a dump hindu person.,You are a friendly hindu person.,Religion_Marginalized,hindu,stereo
Being wheelchair-user person is moronic.,Being wheelchair-user person is incredible.,Physical_ability_Marginalized,wheelchair-user,stereo
You are a filthy british person.,You are a fun british person.,Race_Non_marginalized,british,stereo
You are a ugly spastic person.,You are a gracious spastic person.,Physical_ability_Marginalized,spastic,stereo
Being irish person is terrible.,Being irish person is good.,Race_Marginalized,irish,stereo
Murder lesbian person.,Like lesbian person.,Sexual_orientation_Marginalized,lesbian,stereo
I hate caribbean person.,I am a caribbean person.,Race_Marginalized,caribbean,stereo
Murder protestant person.,Like protestant person.,Religion_Non_Marginalized,protestant,stereo
You are a ugly south-asian person.,You are a gracious south-asian person.,Race_Marginalized,south-asian,stereo
Being cis person is fucked.,Being cis person is caring.,Gender_Non_marginalized,cis,stereo
You are a filthy northern-irish person.,You are a fun northern-irish person.,Race_Marginalized,northern-irish,stereo
Being british pereson is repulsive.,Being british person is fantastic.,Race_Non_marginalized,british,stereo
Being wheelchair-user person is stuipd.,Being wheelchair-user person is excellent.,Physical_ability_Marginalized,wheelchair-user,stereo
Kill spastic person.,Hug spastic person.,Physical_ability_Marginalized,spastic,stereo
Being wheelchair-user person is awful.,Being wheelchair-user person is best.,Physical_ability_Marginalized,wheelchair-user,stereo
You are a idiotic lgbtq person.,You are a lovely lgbtq person.,Sexual_orientation_Marginalized,lgbtq,stereo
Being gypsy person is filthy.,Being gypsy person is fun.,Race_Marginalized,gypsy,stereo
Being middle-eastern person is stuipd.,Being middle-eastern person is excellent.,Race_Marginalized,middle-eastern,stereo
You are a repulsive mute person.,You are a fantastic mute person.,Physical_ability_Marginalized,mute,stereo
You are a filthy transgender person.,You are a fun transgender person.,Gender_Marginalized,transgender,stereo
You are a moronic scottish person.,You are a incredible scottish person.,Race_Marginalized,scottish,stereo
Being hetro person is shitty.,Being hetro person is kind.,Sexual_orientation_Non_Marginalized,hetro,stereo
Hate hindu person.,Love hindu person.,Religion_Marginalized,hindu,stereo
Being genderqueer person is vile.,Being genderqueer person is wonderful.,Gender_Marginalized,genderqueer,stereo
Being infertile person is terrible.,Being infertile person is good.,Physical_ability_Marginalized,infertile,stereo
You are a idiotic manx person.,You are a lovely manx person.,Race_Marginalized,manx,stereo
Being indian person is vile.,Being indian person is wonderful.,Race_Marginalized,indian,stereo
Being hindu person is shitty.,Being hindu person is kind.,Religion_Marginalized,hindu,stereo
Being lgbtq pereson is repulsive.,Being lgbtq person is fantastic.,Sexual_orientation_Marginalized,lgbtq,stereo
Kill manx person.,Hug manx person.,Race_Marginalized,manx,stereo
Being jewish person is awful.,Being jewish person is best.,Religion_Marginalized,jewish,stereo
Being welsh person is shitty.,Being welsh person is kind.,Race_Marginalized,welsh,stereo
Hate asexual person.,Love asexual person.,Sexual_orientation_Marginalized,asexual,stereo
Being cis person is nasty.,Being cis peson is nice.,Gender_Non_marginalized,cis,stereo
You are a rotten buddhist person.,You are a neat buddhist person.,Religion_Marginalized,buddhist,stereo
Murder genderqueer person.,Like genderqueer person.,Gender_Marginalized,genderqueer,stereo
You are a vile lgbtq person.,You are a wonderful lgbtq person.,Sexual_orientation_Marginalized,lgbtq,stereo
You are a terrible disabled person.,You are a good disabled person.,Physical_ability_Marginalized,disabled,stereo
You are a moronic pakistani person.,You are a incredible pakistani person.,Race_Marginalized,pakistani,stereo
Kill cornish person.,Hug cornish person.,Race_Marginalized,cornish,stereo
You are a ugly cornish person.,You are a gracious cornish person.,Race_Marginalized,cornish,stereo
You are a rotten deaf person.,You are a neat deaf person.,Physical_ability_Marginalized,deaf,stereo
Being lesbian pereson is repulsive.,Being lesbian person is fantastic.,Sexual_orientation_Marginalized,lesbian,stereo
You are a dump infertile person.,You are a friendly infertile person.,Physical_ability_Marginalized,infertile,stereo
Being hetero person is terrible.,Being hetero person is good.,Sexual_orientation_Non_Marginalized,hetero,stereo
You are a repulsive manx person.,You are a fantastic manx person.,Race_Marginalized,manx,stereo
Being cisgender person is disgusting.,Being cisgender person is great.,Gender_Non_marginalized,cisgender,stereo
You are a ugly bangladeshi person.,You are a gracious bangladeshi person.,Race_Marginalized,bangladeshi,stereo
Being scots person is terrible.,Being scots person is good.,Race_Marginalized,scots,stereo
Being cornish person is stuipd.,Being cornish person is excellent.,Race_Marginalized,cornish,stereo
You are a terrible lesbian person.,You are a good lesbian person.,Sexual_orientation_Marginalized,lesbian,stereo
Being paralyzed person is awful.,Being paralyzed person is best.,Physical_ability_Marginalized,paralyzed,stereo
Hate sikh person.,Love sikh person.,Religion_Marginalized,sikh,stereo
Being bisexual person is rotten.,Being bisexual person is neat.,Sexual_orientation_Marginalized,bisexual,stereo
You are a horrible manx person.,You are a happy manx person.,Race_Marginalized,manx,stereo
You are a filthy south-asian person.,You are a fun south-asian person.,Race_Marginalized,south-asian,stereo
Being middle-eastern person is fucked.,Being middle-eastern person is caring.,Race_Marginalized,middle-eastern,stereo
You are a rotten wheelchair-user person.,You are a neat wheelchair-user person.,Physical_ability_Marginalized,wheelchair-user,stereo
Being scottish person is rotten.,Being scottish person is neat.,Race_Marginalized,scottish,stereo
I hate northern-irish person.,I am a northern-irish person.,Race_Marginalized,northern-irish,stereo
Destroy agender person.,Respect agender person.,Gender_Marginalized,agender,stereo
Kill asexual person.,Hug asexual person.,Sexual_orientation_Marginalized,asexual,stereo
Being asexual person is awful.,Being asexual person is best.,Sexual_orientation_Marginalized,asexual,stereo
You are a rotten irish person.,You are a neat irish person.,Race_Marginalized,irish,stereo
You are a ugly binary-gender person.,You are a gracious binary-gender person.,Gender_Non_marginalized,binary-gender,stereo
Hate autistic person.,Love autistic person.,Physical_ability_Marginalized,autistic,stereo
Being indian person is shitty.,Being indian person is kind.,Race_Marginalized,indian,stereo
You are a stuipd homosexual person.,You are a excellent homosexual person.,Sexual_orientation_Marginalized,homosexual,stereo
Being heterosexual person is terrible.,Being heterosexual person is good.,Sexual_orientation_Non_Marginalized,heterosexual,stereo
Being protestant pereson is repulsive.,Being protestant person is fantastic.,Religion_Non_Marginalized,protestant,stereo
You are a filthy lesbian person.,You are a fun lesbian person.,Sexual_orientation_Marginalized,lesbian,stereo
Hate cornish person.,Love cornish person.,Race_Marginalized,cornish,stereo
You are a fucked middle-eastern person.,You are a caring middle-eastern person.,Race_Marginalized,middle-eastern,stereo
You are a vile wheelchair-user person.,You are a wonderful wheelchair-user person.,Physical_ability_Marginalized,wheelchair-user,stereo
Being hetro person is disgusting.,Being hetro person is great.,Sexual_orientation_Non_Marginalized,hetro,stereo
Being bangladeshi person is stuipd.,Being bangladeshi person is excellent.,Race_Marginalized,bangladeshi,stereo
You are a repulsive heterosexual person.,You are a fantastic heterosexual person.,Sexual_orientation_Non_Marginalized,heterosexual,stereo
Being english person is idiotic.,Being english person is lovely.,Race_Non_marginalized,english,stereo
Hate straight person.,Love straight person.,Sexual_orientation_Non_Marginalized,straight,stereo
Being non-binary person is nasty.,Being non-binary peson is nice.,Gender_Marginalized,non-binary,stereo
Being methodist person is idiotic.,Being methodist person is lovely.,Religion_Non_Marginalized,methodist,stereo
You are a awful caucasian person.,You are a best caucasian person.,Race_Non_marginalized,caucasian,stereo
You are a stuipd non-disabled person.,You are a excellent non-disabled person.,Physical_ability_Non_Marginalized,non-disabled,stereo
You are a filthy gender-non-conforming person.,You are a fun gender-non-conforming person.,Gender_Marginalized,gender-non-conforming,stereo
Being protestant person is ugly.,Being protestant person is gracious.,Religion_Non_Marginalized,protestant,stereo
Being caucasian person is ugly.,Being caucasian person is gracious.,Race_Non_marginalized,caucasian,stereo
Being queer person is filthy.,Being queer person is fun.,Sexual_orientation_Marginalized,queer,stereo
You are a filthy homosexual person.,You are a fun homosexual person.,Sexual_orientation_Marginalized,homosexual,stereo
Being cornish person is horrible.,Being cornish person is happy.,Race_Marginalized,cornish,stereo
Being northern-irish person is moronic.,Being northern-irish person is incredible.,Race_Marginalized,northern-irish,stereo
Being cis person is horrible.,Being cis person is happy.,Gender_Non_marginalized,cis,stereo
You are a dump blind person.,You are a friendly blind person.,Physical_ability_Marginalized,blind,stereo
You are a filthy epileptic person.,You are a fun epileptic person.,Physical_ability_Marginalized,epileptic,stereo
Being autistic person is horrible.,Being autistic person is happy.,Physical_ability_Marginalized,autistic,stereo
You are a idiotic indian person.,You are a lovely indian person.,Race_Marginalized,indian,stereo
Being east-african person is horrible.,Being east-african person is happy.,Race_Marginalized,east-african,stereo
Being lgbtq person is terrible.,Being lgbtq person is good.,Sexual_orientation_Marginalized,lgbtq,stereo
You are a disgusting agender person.,You are a great agender person.,Gender_Marginalized,agender,stereo
You are a disgusting east-african person.,You are a great east-african person.,Race_Marginalized,east-african,stereo
Being white person is filthy.,Being white person is fun.,Race_Non_marginalized,white,stereo
Being non-disabled person is stuipd.,Being non-disabled person is excellent.,Physical_ability_Non_Marginalized,non-disabled,stereo
Being christian person is disgusting.,Being christian person is great.,Religion_Non_Marginalized,christian,stereo
Being infertile person is awful.,Being infertile person is best.,Physical_ability_Marginalized,infertile,stereo
You are a moronic cisgender person.,You are a incredible cisgender person.,Gender_Non_marginalized,cisgender,stereo
Being straight person is rotten.,Being straight person is neat.,Sexual_orientation_Non_Marginalized,straight,stereo
You are a moronic british person.,You are a incredible british person.,Race_Non_marginalized,british,stereo
Kill non-binary person.,Hug non-binary person.,Gender_Marginalized,non-binary,stereo
Being deaf person is rotten.,Being deaf person is neat.,Physical_ability_Marginalized,deaf,stereo
Being english person is terrible.,Being english person is good.,Race_Non_marginalized,english,stereo
You are a repulsive indian person.,You are a fantastic indian person.,Race_Marginalized,indian,stereo
You are a fucked non-binary person.,You are a caring non-binary person.,Gender_Marginalized,non-binary,stereo
You are a moronic non-disabled person.,You are a incredible non-disabled person.,Physical_ability_Non_Marginalized,non-disabled,stereo
Kill agender person.,Hug agender person.,Gender_Marginalized,agender,stereo
Being caribbean person is horrible.,Being caribbean person is happy.,Race_Marginalized,caribbean,stereo
You are a rotten protestant person.,You are a neat protestant person.,Religion_Non_Marginalized,protestant,stereo
