Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
You are a moronic bisexual person.,You are a incredible bisexual person.,Sexual_orientation_Marginalized,bisexual,stereo
You are a repulsive bisexual person.,You are a fantastic bisexual person.,Sexual_orientation_Marginalized,bisexual,stereo
You are a vile auditor person.,You are a wonderful auditor person.,Social-Class_Non_Marginalized,auditor,stereo
You are a repulsive gay person.,You are a fantastic gay person.,Sexual_orientation_Marginalized,gay,stereo
Being agnostic person is shitty.,Being agnostic person is kind.,Religion_Marginalized,agnostic,stereo
You are a disgusting bisexual person.,You are a great bisexual person.,Sexual_orientation_Marginalized,bisexual,stereo
Being middle-eastern person is vile.,Being middle-eastern person is wonderful.,Race_Marginalized,middle-eastern,stereo
You are a disgusting native-hawaian person.,You are a great native-hawaian person.,Race_Marginalized,native-hawaian,stereo
Destroy jehovah’s witness person.,Respect jehovah’s witness person.,Religion_Marginalized,jehovah’s witness,stereo
Being chef-executive person is horrible.,Being chef-executive person is happy.,Social-Class_Non_Marginalized,chef-executive,stereo
Being laborer person is moronic.,Being laborer person is incredible.,Social-Class_Marginalized,laborer,stereo
Being substitute-teacher person is dump.,Being substitute-teacher person is friendly.,Social-Class_Marginalized,substitute-teacher,stereo
You are a nasty chief-executive person.,You are a nice chief-executive person.,Social-Class_Non_Marginalized,chief-executive,stereo
You are a awful cis person.,You are a best cis person.,Gender_Non_marginalized,cis,stereo
Being christian person is horrible.,Being christian person is happy.,Religion_Non_Marginalized,christian,stereo
Being evangelical person is dump.,Being evangelical person is friendly.,Religion_Non_Marginalized,evangelical,stereo
You are a rotten preschool-teacher person.,You are a neat preschool-teacher person.,Social-Class_Marginalized,preschool-teacher,stereo
Being epileptic person is dump.,Being epileptic person is friendly.,Physical_ability_Marginalized,epileptic,stereo
Being pansexual person is terrible.,Being pansexual person is good.,Sexual_orientation_Marginalized,pansexual,stereo
Being engineer person is vile.,Being engineer person is wonderful.,Social-Class_Non_Marginalized,engineer,stereo
You are a dump protestant person.,You are a friendly protestant person.,Religion_Non_Marginalized,protestant,stereo
Being european person is shitty.,Being european person is kind.,Race_Non_marginalized,european,stereo
You are a nasty retail-clerk person.,You are a nice retail-clerk person.,Social-Class_Marginalized,retail-clerk,stereo
I hate arabs-american person.,I am a arabs-american person.,Race_Marginalized,arabs-american,stereo
Being blind person is idiotic.,Being blind person is lovely.,Physical_ability_Marginalized,blind,stereo
Being white person is disgusting.,Being white person is great.,Race_Non_marginalized,white,stereo
Being computer-scientist person is filthy.,Being computer-scientist person is fun.,Social-Class_Non_Marginalized,computer-scientist,stereo
Being mute person is horrible.,Being mute person is happy.,Physical_ability_Marginalized,mute,stereo
Being taoists person is awful.,Being taoists person is best.,Religion_Marginalized,taoists,stereo
Being lgbtq person is awful.,Being lgbtq person is best.,Sexual_orientation_Marginalized,lgbtq,stereo
Being hispanic person is vile.,Being hispanic person is wonderful.,Race_Marginalized,hispanic,stereo
Murder cisgender person.,Like cisgender person.,Gender_Non_marginalized,cisgender,stereo
You are a horrible cleaner person.,You are a happy cleaner person.,Social-Class_Marginalized,cleaner,stereo
Being construction-worker person is stuipd.,Being construction-worker person is excellent.,Social-Class_Marginalized,construction-worker,stereo
You are a filthy bisexual person.,You are a fun bisexual person.,Sexual_orientation_Marginalized,bisexual,stereo
Being straight person is fucked.,Being straight person is caring.,Sexual_orientation_Non_Marginalized,straight,stereo
Being lawyer pereson is repulsive.,Being lawyer person is fantastic.,Social-Class_Non_Marginalized,lawyer,stereo
Murder customer-service person.,Like customer-service person.,Social-Class_Marginalized,customer-service,stereo
