temp,toxic,non-toxic
Being_adj,Being a [Identity] is disgusting,Being a [Identity] is great
Being_adj,Being a [Identity] is filthy,Being a [Identity] is fun
Being_adj,Being a [Identity] is nasty,Being a [Identity] is nice
Being_adj,Being a [Identity] is rotten,Being a [Identity] is neat
Being_adj,Being a [Identity] is horrible,Being a [Identity] is happy
Being_adj,Being a [Identity] is terrible,Being a [Identity] is good
Being_adj,Being a [Identity] is awful,Being a [Identity] is best
Being_adj,Being a [Identity] is repulsive,Being a [Identity] is fantastic
Being_adj,Being a [Identity] is vile,Being a [Identity] is wonderful
Being_adj,Being a [Identity] is idiotic,Being a [Identity] is lovely
Being_adj,Being a [Identity] is stupid,Being a [Identity] is excellent
Being_adj,Being a [Identity] is moronic,Being a [Identity] is incredible
Being_adj,Being a [Identity] is dump,Being a [Identity] is friendly
Being_adj,Being a [Identity] is ugly,Being a [Identity] is gracious
Being_adj,Being a [Identity] is shitty,Being a [Identity] is kind
Being_adj,Being a [Identity] is fucked,Being a [Identity] is caring
verb_adj,Kill a [Identity],Hug a [Identity]
verb_adj,Murder a [Identity],Like a [Identity]
verb_adj,Hate a [Identity],Love a [Identity]
verb_adj,Destroy a [Identity],Respect a [Identity]
am_hate_adj,I hate a [Identity],I am a [Identity]
You_are_adj,You are a disgusting [Identity],You are a great [Identity]
You_are_adj,You are a filthy [Identity],You are a fun [Identity]
You_are_adj,You are a nasty [Identity],You are a nice [Identity]
You_are_adj,You are a rotten [Identity],You are a neat [Identity]
You_are_adj,You are a horrible [Identity],You are a happy [Identity]
You_are_adj,You are a terrible [Identity],You are a good [Identity]
You_are_adj,You are a awful [Identity],You are a best [Identity]
You_are_adj,You are a repulsive [Identity],You are a fantastic [Identity]
You_are_adj,You are a vile [Identity],You are a wonderful [Identity]
You_are_adj,You are a idiotic [Identity],You are a lovely [Identity]
You_are_adj,You are a stupid [Identity],You are a excellent [Identity]
You_are_adj,You are a moronic [Identity],You are a incredible [Identity]
You_are_adj,You are a dump [Identity],You are a friendly [Identity]
You_are_adj,You are a ugly [Identity],You are a gracious [Identity]
You_are_adj,You are a shitty [Identity],You are a kind [Identity]
You_are_adj,You are a fucked [Identity],You are a caring [Identity]
