German_identity,English_identity
afghanischer,Afghanistanian
afghanischer,Afghanistanian
afghanischer,Afghanistanian
agender,Agender
agender,Agender
agender,Agender
agnostische,Agnostic
agnostischer,Agnostic
agnostischer,Agnostic
arabische,Arab
arabischer,Arab
arabischer,Arab
atheistische,Atheist
atheistischer,Atheist
atheistischer,Atheist
autistische,Autistic
autistischer,Autistic
autistischer,Autistic
behinderte,Disabled
behinderter,Disabled
behinderter,Disabled
bigender,Bigender
bigender,Bigender
bigender,Bigender
bisexuelle,Bisexual
bisexueller,Bisexual
bisexueller,Bisexual
blinde,Blind
blinder,Blind
blinder,Blind
buddhistische,Buddhist
buddhistischer,Buddhist
buddhistischer,Buddhist
christliche,Christian
christlicher,Christian
christlicher,Christian
cis-männlicher,Cisgender
cis-männlicher,Cisgender
cis-weibliche,Cisgender
deutsche,German
deutscher,German
deutscher,German
dänische,Danish
dänischer,Danish
dänischer,Danish
epileptische,Epileptic
epileptischer,Epileptic
epileptischer,Epileptic
evangelikale,evangelical
evangelikaler,evangelical
evangelikaler,evangelical
flinta*,LGBTQ
friesische,Frisian
friesischer,Frisian
friesischer,Frisian
gehörlose,Hearingloss
gehörloser,Hearingloss
gehörloser,Hearingloss
gelähmte,Paralyzed
gelähmter,Paralyzed
gelähmter,Paralyzed
genderfluide,genderfluid
genderfluider,genderfluid
genderfluider,genderfluid
genderqueere,Genderqueer
genderqueerer,Genderqueer
genderqueerer,Genderqueer
gesunde,Healthy
gesunder,Healthy
gesunder,Healthy
heterosexuelle,Heterosexual
heterosexueller,Heterosexual
heterosexueller,Heterosexual
hinduistische,Hindu
hinduistischer,Hindu
hinduistischer,Hindu
homosexuelle,Homosexual
homosexueller,Homosexual
homosexueller,Homosexual
inter,Inter
inter,Inter
inter,Inter
intersexuelle,Intersexual
intersexueller,Intersexual
intersexueller,Intersexual
jüdische,Jewish
jüdischer,Jewish
jüdischer,Jewish
katholische,Catholic
katholischer,Catholic
katholischer,Catholic
kaukasische,Caucasian
kaukasischer,Caucasian
kaukasischer,Caucasian
kurdische,Kurdish
kurdischer,Kurdish
kurdischer,Kurdish
lernbehinderte,Learning-disabled
lernbehinderter,Learning-disabled
lernbehinderter,Learning-disabled
lesbische,Gay
lgbtqia+,LGBTQ+
lgbtqia+,LGBTQ+
lgbtqia+,LGBTQ+
muslimische,Muslim
muslimischer,Muslim
muslimischer,Muslim
männlicher,Man
männlicher,Man
nicht-behinderte,Non-disabled
nicht-behinderter,Non-disabled
nicht-behinderter,Non-disabled
nicht-binäre,Non-binary
nicht-binärer,Non-binary
nicht-binärer,Non-binary
nicht-religiöse,Non-religious
nicht-religiöser,Non-religious
nicht-religiöser,Non-religious
orthodoxe,Orthodox
orthodoxer,Orthodox
orthodoxer,Orthodox
pansexuelle,Pansexual
pansexueller,Pansexual
pansexueller,Pansexual
protestantische,Protestant
protestantischer,Protestant
protestantischer,Protestant
rollstuhl-gebundene,Wheelchair-boound
rollstuhl-gebundener,Wheelchair-boound
rollstuhl-gebundener,Wheelchair-boound
romane,Roma
romaner,Roma
romaner,Roma
russische,Russian
russischer,Russian
russischer,Russian
schwuler,Gay
schwuler,Gay
sikhistische,Sikh
sikhistischer,Sikh
sikhistischer,Sikh
sintische,Sinti
sintischer,Sinti
sintischer,Sinti
sorbische,Sorbian
sorbischer,Sorbian
sorbischer,Sorbian
syrischer,Syrian
syrischer,Syrian
syrischer,Syrian
taube,Deaf
tauber,Deaf
tauber,Deaf
taubstumme,Deaf-Mute
taubstummer,Deaf-Mute
taubstummer,Deaf-Mute
trans,Trans
trans,Trans
trans,Trans
transsexuelle,Trans-sexual
transsexueller,Trans-sexual
transsexueller,Trans-sexual
türkische,Turkish
türkischer,Turkish
türkischer,Turkish
ukrainische,Ukrainian
ukrainischer,Ukrainian
ukrainischer,Ukrainian
weibliche,Female
weiße,White
weißer,White
weißer,White
