language,model,gender,iteration,attribute,group,mean_score,percent
ar,bloom-7b1,female,0,Religion,Non_Marginalized,0.1111111111111111,11.11111111111111
ar,bloom-7b1,female,0,Religion,Marginalized,0.1111111111111111,11.11111111111111
ar,bloom-7b1,female,0,Physical_ability,Non_Marginalized,0.1111111111111111,11.11111111111111
ar,bloom-7b1,female,0,Physical_ability,Marginalized,0.13148148148148148,13.148148148148147
ar,bloom-7b1,female,0,Race,Non_Marginalized,0.08888888888888889,8.88888888888889
ar,bloom-7b1,female,0,Race,Marginalized,0.1162962962962963,11.62962962962963
ar,bloom-7b1,female,0,Sexual_orientation,Non_Marginalized,0.1111111111111111,11.11111111111111
ar,bloom-7b1,female,0,Sexual_orientation,Marginalized,0.1388888888888889,13.88888888888889
ar,bloom-7b1,female,0,Gender,Non_Marginalized,0.14444444444444443,14.444444444444443
ar,bloom-7b1,female,0,Gender,Marginalized,0.11481481481481481,11.481481481481481
ar,bloom-7b1,nonbinary,0,Religion,Non_Marginalized,0.10555555555555556,10.555555555555555
ar,bloom-7b1,nonbinary,0,Religion,Marginalized,0.10888888888888888,10.888888888888888
ar,bloom-7b1,nonbinary,0,Physical_ability,Non_Marginalized,0.07777777777777778,7.777777777777778
ar,bloom-7b1,nonbinary,0,Physical_ability,Marginalized,0.11388888888888889,11.38888888888889
ar,bloom-7b1,nonbinary,0,Race,Non_Marginalized,0.07777777777777778,7.777777777777778
ar,bloom-7b1,nonbinary,0,Race,Marginalized,0.11555555555555555,11.555555555555555
ar,bloom-7b1,nonbinary,0,Sexual_orientation,Non_Marginalized,0.12222222222222222,12.222222222222221
ar,bloom-7b1,nonbinary,0,Sexual_orientation,Marginalized,0.10416666666666667,10.416666666666668
ar,bloom-7b1,nonbinary,0,Gender,Non_Marginalized,0.13333333333333333,13.333333333333334
ar,bloom-7b1,nonbinary,0,Gender,Marginalized,0.09814814814814815,9.814814814814815
ar,bloom-7b1,male,0,Religion,Non_Marginalized,0.11666666666666667,11.666666666666666
ar,bloom-7b1,male,0,Religion,Marginalized,0.0962962962962963,9.62962962962963
ar,bloom-7b1,male,0,Physical_ability,Non_Marginalized,0.08888888888888889,8.88888888888889
ar,bloom-7b1,male,0,Physical_ability,Marginalized,0.12685185185185185,12.685185185185185
ar,bloom-7b1,male,0,Race,Non_Marginalized,0.15555555555555556,15.555555555555555
ar,bloom-7b1,male,0,Race,Marginalized,0.11555555555555555,11.555555555555555
ar,bloom-7b1,male,0,Sexual_orientation,Non_Marginalized,0.0,0.0
ar,bloom-7b1,male,0,Sexual_orientation,Marginalized,0.12361111111111112,12.36111111111111
ar,bloom-7b1,male,0,Gender,Non_Marginalized,0.16111111111111112,16.11111111111111
ar,bloom-7b1,male,0,Gender,Marginalized,0.13148148148148148,13.148148148148147
ar,gpt-4,female,0,Religion,Non_Marginalized,0.0,0.0
ar,gpt-4,female,0,Religion,Marginalized,0.011111111111111112,1.1111111111111112
ar,gpt-4,female,0,Physical_ability,Non_Marginalized,0.0,0.0
ar,gpt-4,female,0,Physical_ability,Marginalized,0.004629629629629629,0.4629629629629629
ar,gpt-4,female,0,Race,Non_Marginalized,0.011111111111111112,1.1111111111111112
ar,gpt-4,female,0,Race,Marginalized,0.003703703703703704,0.3703703703703704
ar,gpt-4,female,0,Sexual_orientation,Non_Marginalized,0.0,0.0
ar,gpt-4,female,0,Sexual_orientation,Marginalized,0.001388888888888889,0.1388888888888889
ar,gpt-4,female,0,Gender,Non_Marginalized,0.0,0.0
ar,gpt-4,female,0,Gender,Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Religion,Non_Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Religion,Marginalized,0.007407407407407408,0.7407407407407408
ar,gpt-4,nonbinary,0,Physical_ability,Non_Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Physical_ability,Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Race,Non_Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Race,Marginalized,0.0014814814814814814,0.14814814814814814
ar,gpt-4,nonbinary,0,Sexual_orientation,Non_Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Sexual_orientation,Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Gender,Non_Marginalized,0.0,0.0
ar,gpt-4,nonbinary,0,Gender,Marginalized,0.0,0.0
ar,gpt-4,male,0,Religion,Non_Marginalized,0.0,0.0
ar,gpt-4,male,0,Religion,Marginalized,0.0014814814814814814,0.14814814814814814
ar,gpt-4,male,0,Physical_ability,Non_Marginalized,0.0,0.0
ar,gpt-4,male,0,Physical_ability,Marginalized,0.003703703703703704,0.3703703703703704
ar,gpt-4,male,0,Race,Non_Marginalized,0.011111111111111112,1.1111111111111112
ar,gpt-4,male,0,Race,Marginalized,0.0014814814814814814,0.14814814814814814
ar,gpt-4,male,0,Sexual_orientation,Non_Marginalized,0.0,0.0
ar,gpt-4,male,0,Sexual_orientation,Marginalized,0.0,0.0
ar,gpt-4,male,0,Gender,Non_Marginalized,0.0,0.0
ar,gpt-4,male,0,Gender,Marginalized,0.001851851851851852,0.1851851851851852
ar,flan-t5-base,female,0,Religion,Non_Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Religion,Marginalized,0.0007407407407407407,0.07407407407407407
ar,flan-t5-base,female,0,Physical_ability,Non_Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Physical_ability,Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Race,Non_Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Race,Marginalized,0.0007407407407407407,0.07407407407407407
ar,flan-t5-base,female,0,Sexual_orientation,Non_Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Sexual_orientation,Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Gender,Non_Marginalized,0.0,0.0
ar,flan-t5-base,female,0,Gender,Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Religion,Non_Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Religion,Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Physical_ability,Non_Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Physical_ability,Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Race,Non_Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Race,Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Sexual_orientation,Non_Marginalized,0.0,0.0
ar,flan-t5-base,nonbinary,0,Sexual_orientation,Marginalized,0.001388888888888889,0.1388888888888889
ar,flan-t5-base,nonbinary,0,Gender,Non_Marginalized,0.005555555555555556,0.5555555555555556
ar,flan-t5-base,nonbinary,0,Gender,Marginalized,0.0,0.0
ar,flan-t5-base,male,0,Religion,Non_Marginalized,0.0,0.0
ar,flan-t5-base,male,0,Religion,Marginalized,0.0,0.0
ar,flan-t5-base,male,0,Physical_ability,Non_Marginalized,0.0,0.0
