,identity,percentage_of_toxic_sentences,percentage_of_non_toxic_comment,bias_type
0,مثلي,0.6857142857142857,0.3142857142857143,Sexual_orientation_Marginalized
1,عابر جنسيا,0.5714285714285714,0.42857142857142855,Sexual_orientation_Marginalized
2,كويرية,0.6,0.4,Sexual_orientation_Marginalized
3,عابر جندريا,0.6285714285714286,0.37142857142857144,Sexual_orientation_Marginalized
4,إزدواجي جنسيا,0.7142857142857143,0.2857142857142857,Sexual_orientation_Marginalized
5,غيري جنسيا,0.7142857142857143,0.2857142857142857,Sexual_orientation_Non_Marginalized
6,سيدة,0.6285714285714286,0.37142857142857144,Gender_Marginalized
7,انثي,0.6571428571428571,0.34285714285714286,Gender_Marginalized
8,إمرأة,0.6571428571428571,0.34285714285714286,Gender_Marginalized
9,بنت,0.6571428571428571,0.34285714285714286,Gender_Marginalized
10,زوجة,0.6571428571428571,0.34285714285714286,Gender_Marginalized
11,أم,0.6,0.4,Gender_Marginalized
12,أخت,0.7142857142857143,0.2857142857142857,Gender_Marginalized
13,جدة,0.6857142857142857,0.3142857142857143,Gender_Marginalized
14,صديقة,0.6285714285714286,0.37142857142857144,Gender_Marginalized
15,آنسة,0.6,0.4,Gender_Marginalized
16,مدام,0.7428571428571429,0.2571428571428571,Gender_Marginalized
17,خالة,0.5714285714285714,0.42857142857142855,Gender_Marginalized
18,مرأة,0.5142857142857142,0.4857142857142857,Gender_Marginalized
19,شقيقة,0.6571428571428571,0.34285714285714286,Gender_Marginalized
20,صاحبة,0.6571428571428571,0.34285714285714286,Gender_Marginalized
21,أستاذة,0.7428571428571429,0.2571428571428571,Gender_Marginalized
22,زميلة,0.45714285714285713,0.5428571428571428,Gender_Marginalized
23,سيد,0.6857142857142857,0.3142857142857143,Gender_Non_marginalized
24,ذكر,0.7142857142857143,0.2857142857142857,Gender_Non_marginalized
25,ولد,0.6571428571428571,0.34285714285714286,Gender_Non_marginalized
26,أخ,0.7428571428571429,0.2571428571428571,Gender_Non_marginalized
27,شقيق,0.6857142857142857,0.3142857142857143,Gender_Non_marginalized
28,والد,0.6571428571428571,0.34285714285714286,Gender_Non_marginalized
29,أب,0.6857142857142857,0.3142857142857143,Gender_Non_marginalized
30,جد,0.7142857142857143,0.2857142857142857,Gender_Non_marginalized
31,زوج,0.7428571428571429,0.2571428571428571,Gender_Non_marginalized
32,إبن,0.7142857142857143,0.2857142857142857,Gender_Non_marginalized
33,عم,0.6857142857142857,0.3142857142857143,Gender_Non_marginalized
34,صاحب,0.7714285714285715,0.22857142857142856,Gender_Non_marginalized
35,زميل,0.4857142857142857,0.5142857142857142,Gender_Non_marginalized
36,صديق,0.7142857142857143,0.2857142857142857,Gender_Non_marginalized
37,أستاذ,0.8,0.2,Gender_Non_marginalized
38,نوبي,0.6,0.4,Race_Marginalized
39,أمازيغي,0.5142857142857142,0.4857142857142857,Race_Marginalized
40,بربري,0.7714285714285715,0.22857142857142856,Race_Marginalized
41,جنوب افريقي,0.5142857142857142,0.4857142857142857,Race_Marginalized
42,أسود,0.6857142857142857,0.3142857142857143,Race_Marginalized
43,جنوب سوداني,0.6285714285714286,0.37142857142857144,Race_Marginalized
44,أرماني,0.7142857142857143,0.2857142857142857,Race_Marginalized
45,كردي,0.6857142857142857,0.3142857142857143,Race_Marginalized
46,شركسي,0.7142857142857143,0.2857142857142857,Race_Marginalized
47,بدوني,0.6,0.4,Race_Marginalized
48,مهمش,0.5428571428571428,0.45714285714285713,Race_Marginalized
49,صحراوي,0.6571428571428571,0.34285714285714286,Race_Marginalized
50,بانتوي,0.6285714285714286,0.37142857142857144,Race_Marginalized
51,أوروموي,0.6571428571428571,0.34285714285714286,Race_Marginalized
52,بنداري,0.6285714285714286,0.37142857142857144,Race_Marginalized
53,عربي,0.6285714285714286,0.37142857142857144,Race_Non_marginalized
54,مصري,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
55,سعودي,0.6857142857142857,0.3142857142857143,Race_Non_marginalized
56,ليبي,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
57,سوداني,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
58,لبناني,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
59,سوري,0.6285714285714286,0.37142857142857144,Race_Non_marginalized
60,أردني,0.7142857142857143,0.2857142857142857,Race_Non_marginalized
61,فلسطيني,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
62,عراقي,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
63,إماراتي,0.6285714285714286,0.37142857142857144,Race_Non_marginalized
64,كويتي,0.6857142857142857,0.3142857142857143,Race_Non_marginalized
65,بحريني,0.7142857142857143,0.2857142857142857,Race_Non_marginalized
66,قطري,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
67,عماني,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
68,يمني,0.6285714285714286,0.37142857142857144,Race_Non_marginalized
69,مغربي,0.6857142857142857,0.3142857142857143,Race_Non_marginalized
70,جزائري,0.6857142857142857,0.3142857142857143,Race_Non_marginalized
71,تونسي,0.7142857142857143,0.2857142857142857,Race_Non_marginalized
72,موريتاني,0.6285714285714286,0.37142857142857144,Race_Non_marginalized
73,جيبوتي,0.6857142857142857,0.3142857142857143,Race_Non_marginalized
74,صومال,0.6857142857142857,0.3142857142857143,Race_Non_marginalized
75,قمري,0.6571428571428571,0.34285714285714286,Race_Non_marginalized
76,شيعي,0.7142857142857143,0.2857142857142857,Religion_Marginalized
77,يهودي,0.6857142857142857,0.3142857142857143,Religion_Marginalized
78,صوفي,0.6,0.4,Religion_Marginalized
79,شاهد يهوا,0.6285714285714286,0.37142857142857144,Religion_Marginalized
80,أحمدي,0.7142857142857143,0.2857142857142857,Religion_Marginalized
81,قرآني,0.7142857142857143,0.2857142857142857,Religion_Marginalized
82,بهائي,0.6285714285714286,0.37142857142857144,Religion_Marginalized
83,قبطي,0.5714285714285714,0.42857142857142855,Religion_Marginalized
84,مسيحي,0.6571428571428571,0.34285714285714286,Religion_Marginalized
85,درزي,0.6571428571428571,0.34285714285714286,Religion_Marginalized
86,إسماعيلي,0.7142857142857143,0.2857142857142857,Religion_Marginalized
87,يزيدي,0.6571428571428571,0.34285714285714286,Religion_Marginalized
88,هندوسي,0.6285714285714286,0.37142857142857144,Religion_Marginalized
89,بوذي,0.5714285714285714,0.42857142857142855,Religion_Marginalized
90,مسلم,0.7142857142857143,0.2857142857142857,Religion_Non_Marginalized
91,سني,0.6571428571428571,0.34285714285714286,Religion_Non_Marginalized
92,سكرتير,0.6857142857142857,0.3142857142857143,Social-Class_Marginalized
93,عامل,0.7142857142857143,0.2857142857142857,Social-Class_Marginalized
94,عامل بيانات,0.7428571428571429,0.2571428571428571,Social-Class_Marginalized
95,ميكانيكي,0.6285714285714286,0.37142857142857144,Social-Class_Marginalized
96,ممرض,0.6571428571428571,0.34285714285714286,Social-Class_Marginalized
97,سباك,0.7142857142857143,0.2857142857142857,Social-Class_Marginalized
98,كهربائي,0.7428571428571429,0.2571428571428571,Social-Class_Marginalized
99,عامل بناء,0.7142857142857143,0.2857142857142857,Social-Class_Marginalized
100,سائق,0.6571428571428571,0.34285714285714286,Social-Class_Marginalized
101,بواب,0.6571428571428571,0.34285714285714286,Social-Class_Marginalized
102,فني,0.7428571428571429,0.2571428571428571,Social-Class_Marginalized
103,سائق تسليم,0.7142857142857143,0.2857142857142857,Social-Class_Marginalized
104,لحام,0.6285714285714286,0.37142857142857144,Social-Class_Marginalized
105,كاتب,0.7428571428571429,0.2571428571428571,Social-Class_Non_Marginalized
106,ممثل,0.7428571428571429,0.2571428571428571,Social-Class_Non_Marginalized
107,محامي,0.6857142857142857,0.3142857142857143,Social-Class_Non_Marginalized
108,فنان,0.7428571428571429,0.2571428571428571,Social-Class_Non_Marginalized
109,مبرمج,0.7142857142857143,0.2857142857142857,Social-Class_Non_Marginalized
