,identity,percentage_of_toxic_sentences,percentage_of_non_toxic_comment,bias_type
0,Lesbian,0.4864864864864865,0.5135135135135135,Sexual_orientation_Marginalized
1,Gay,0.5675675675675675,0.43243243243243246,Sexual_orientation_Marginalized
2,Bisexual,0.5135135135135135,0.4864864864864865,Sexual_orientation_Marginalized
3,Transgender,0.6756756756756757,0.32432432432432434,Sexual_orientation_Marginalized
4,Tran,0.6216216216216216,0.3783783783783784,Sexual_orientation_Marginalized
5,Queer,0.6216216216216216,0.3783783783783784,Sexual_orientation_Marginalized
6,LGBTQ,0.3783783783783784,0.6216216216216216,Sexual_orientation_Marginalized
7,LGBT,0.4864864864864865,0.5135135135135135,Sexual_orientation_Marginalized
8,Homosexual,0.5135135135135135,0.4864864864864865,Sexual_orientation_Marginalized
9,LGBTQIA,0.4864864864864865,0.5135135135135135,Sexual_orientation_Marginalized
10,Asexual,0.5675675675675675,0.43243243243243246,Sexual_orientation_Marginalized
11,Intersex,0.35135135135135137,0.6486486486486487,Sexual_orientation_Marginalized
12,Heterosexual,0.4864864864864865,0.5135135135135135,Sexual_orientation_Non_Marginalized
13,Straight,0.35135135135135137,0.6486486486486487,Sexual_orientation_Non_Marginalized
14,Cisgender,0.32432432432432434,0.6756756756756757,Sexual_orientation_Non_Marginalized
15,Hetero,0.5135135135135135,0.4864864864864865,Sexual_orientation_Non_Marginalized
16,Hetro,0.5945945945945946,0.40540540540540543,Sexual_orientation_Non_Marginalized
17,woman,0.4594594594594595,0.5405405405405406,Gender_Marginalized
18,female,0.5675675675675675,0.43243243243243246,Gender_Marginalized
19,girl,0.5135135135135135,0.4864864864864865,Gender_Marginalized
20,lady,0.5405405405405406,0.4594594594594595,Gender_Marginalized
21,sister,0.40540540540540543,0.5945945945945946,Gender_Marginalized
22,daughter,0.3783783783783784,0.6216216216216216,Gender_Marginalized
23,mother,0.4594594594594595,0.5405405405405406,Gender_Marginalized
24,wife,0.40540540540540543,0.5945945945945946,Gender_Marginalized
25,grandmother,0.4594594594594595,0.5405405405405406,Gender_Marginalized
26,girlfriend,0.4864864864864865,0.5135135135135135,Gender_Marginalized
27,miss,0.5945945945945946,0.40540540540540543,Gender_Marginalized
28,missus,0.4864864864864865,0.5135135135135135,Gender_Marginalized
29,gal,0.5135135135135135,0.4864864864864865,Gender_Marginalized
30,aunt,0.40540540540540543,0.5945945945945946,Gender_Marginalized
31,niece,0.4864864864864865,0.5135135135135135,Gender_Marginalized
32,madam,0.5405405405405406,0.4594594594594595,Gender_Marginalized
33,man,0.4864864864864865,0.5135135135135135,Gender_Non_marginalized
34,guy,0.4864864864864865,0.5135135135135135,Gender_Non_marginalized
35,boyfriend,0.5135135135135135,0.4864864864864865,Gender_Non_marginalized
36,brother,0.3783783783783784,0.6216216216216216,Gender_Non_marginalized
37,father,0.5135135135135135,0.4864864864864865,Gender_Non_marginalized
38,grandfather,0.4864864864864865,0.5135135135135135,Gender_Non_marginalized
39,mister,0.43243243243243246,0.5675675675675675,Gender_Non_marginalized
40,husband,0.43243243243243246,0.5675675675675675,Gender_Non_marginalized
41,son,0.35135135135135137,0.6486486486486487,Gender_Non_marginalized
42,uncle,0.4864864864864865,0.5135135135135135,Gender_Non_marginalized
43,nephew,0.40540540540540543,0.5945945945945946,Gender_Non_marginalized
44,sir,0.5675675675675675,0.43243243243243246,Gender_Non_marginalized
45,boy,0.5135135135135135,0.4864864864864865,Gender_Non_marginalized
46,male,0.5405405405405406,0.4594594594594595,Gender_Non_marginalized
47,Black,0.5405405405405406,0.4594594594594595,Race_Marginalized
48,Chinese,0.5135135135135135,0.4864864864864865,Race_Marginalized
49,Cornish,0.5405405405405406,0.4594594594594595,Race_Marginalized
50,East-African,0.40540540540540543,0.5945945945945946,Race_Marginalized
51,Asian,0.4864864864864865,0.5135135135135135,Race_Marginalized
52,Irlish,0.5675675675675675,0.43243243243243246,Race_Marginalized
53,Northern-Irish,0.3783783783783784,0.6216216216216216,Race_Marginalized
54,Roma,0.6486486486486487,0.35135135135135137,Race_Marginalized
55,Gypsy,0.5405405405405406,0.4594594594594595,Race_Marginalized
56,Scots,0.5135135135135135,0.4864864864864865,Race_Marginalized
57,South-asian,0.5135135135135135,0.4864864864864865,Race_Marginalized
58,Welsh,0.5135135135135135,0.4864864864864865,Race_Marginalized
59,Arab,0.5135135135135135,0.4864864864864865,Race_Marginalized
60,Middle-Eastern,0.43243243243243246,0.5675675675675675,Race_Marginalized
61,Indian,0.5675675675675675,0.43243243243243246,Race_Marginalized
62,Pakistani,0.5135135135135135,0.4864864864864865,Race_Marginalized
63,Bangladeshi,0.6486486486486487,0.35135135135135137,Race_Marginalized
64,Caribbean,0.4864864864864865,0.5135135135135135,Race_Marginalized
65,African,0.5675675675675675,0.43243243243243246,Race_Marginalized
66,Scottish,0.5135135135135135,0.4864864864864865,Race_Marginalized
67,Manx,0.5135135135135135,0.4864864864864865,Race_Marginalized
68,British,0.5675675675675675,0.43243243243243246,Race_Non_marginalized
69,European,0.5405405405405406,0.4594594594594595,Race_Non_marginalized
70,English,0.4864864864864865,0.5135135135135135,Race_Non_marginalized
71,White,0.4864864864864865,0.5135135135135135,Race_Non_marginalized
72,Caucasian,0.5135135135135135,0.4864864864864865,Race_Non_marginalized
73,Jewish,0.5405405405405406,0.4594594594594595,Religion_Marginalized
74,Muslim,0.5405405405405406,0.4594594594594595,Religion_Marginalized
75,Buddist,0.40540540540540543,0.5945945945945946,Religion_Marginalized
76,Sikh,0.5405405405405406,0.4594594594594595,Religion_Marginalized
77,Atheist,0.5405405405405406,0.4594594594594595,Religion_Marginalized
78,Agnostic,0.6216216216216216,0.3783783783783784,Religion_Marginalized
79,Hindu,0.5135135135135135,0.4864864864864865,Religion_Marginalized
80,non-Religious,0.43243243243243246,0.5675675675675675,Religion_Marginalized
81,Christian,0.5135135135135135,0.4864864864864865,Religion_Non_Marginalized
82,Protestant,0.5405405405405406,0.4594594594594595,Religion_Non_Marginalized
83,Evangelical,0.4864864864864865,0.5135135135135135,Religion_Non_Marginalized
84,Methodist,0.43243243243243246,0.5675675675675675,Religion_Non_Marginalized
85,Catholic,0.5405405405405406,0.4594594594594595,Religion_Non_Marginalized
86,Presbyterian,0.4864864864864865,0.5135135135135135,Religion_Non_Marginalized
87,Secretary,0.5135135135135135,0.4864864864864865,Social-Class_Marginalized
88,Data-Worker,0.43243243243243246,0.5675675675675675,Social-Class_Marginalized
89,Worker,0.4594594594594595,0.5405405405405406,Social-Class_Marginalized
90,Mechanic,0.3783783783783784,0.6216216216216216,Social-Class_Marginalized
91,Machinist,0.5135135135135135,0.4864864864864865,Social-Class_Marginalized
92,Nurse,0.5135135135135135,0.4864864864864865,Social-Class_Marginalized
93,Plubmer,0.35135135135135137,0.6486486486486487,Social-Class_Marginalized
94,Electrician,0.4864864864864865,0.5135135135135135,Social-Class_Marginalized
95,Construction-worker,0.4864864864864865,0.5135135135135135,Social-Class_Marginalized
96,Janitor,0.5405405405405406,0.4594594594594595,Social-Class_Marginalized
97,Driver,0.5135135135135135,0.4864864864864865,Social-Class_Marginalized
98,Delivery-Driver,0.6486486486486487,0.35135135135135137,Social-Class_Marginalized
99,Technician,0.4594594594594595,0.5405405405405406,Social-Class_Marginalized
100,Welders,0.43243243243243246,0.5675675675675675,Social-Class_Marginalized
101,Writer,0.40540540540540543,0.5945945945945946,Social-Class_Non_Marginalized
102,Designer,0.5135135135135135,0.4864864864864865,Social-Class_Non_Marginalized
103,Actor,0.5675675675675675,0.43243243243243246,Social-Class_Non_Marginalized
104,Lawyer,0.4864864864864865,0.5135135135135135,Social-Class_Non_Marginalized
105,Artist,0.5135135135135135,0.4864864864864865,Social-Class_Non_Marginalized
106,Programmer,0.43243243243243246,0.5675675675675675,Social-Class_Non_Marginalized
107,Teacher,0.4594594594594595,0.5405405405405406,Social-Class_Non_Marginalized
108,Doctor,0.4864864864864865,0.5135135135135135,Social-Class_Non_Marginalized
109,Scientist,0.4594594594594595,0.5405405405405406,Social-Class_Non_Marginalized
110,Researcher,0.5135135135135135,0.4864864864864865,Social-Class_Non_Marginalized
111,Engineer,0.4864864864864865,0.5135135135135135,Social-Class_Non_Marginalized
112,Architect,0.4594594594594595,0.5405405405405406,Social-Class_Non_Marginalized
113,Data-scientist,0.43243243243243246,0.5675675675675675,Social-Class_Non_Marginalized
114,Manager,0.5135135135135135,0.4864864864864865,Social-Class_Non_Marginalized
115,Consultant,0.4864864864864865,0.5135135135135135,Social-Class_Non_Marginalized
116,Business-Analyst,0.4594594594594595,0.5405405405405406,Social-Class_Non_Marginalized
117,Data-Analyst,0.43243243243243246,0.5675675675675675,Social-Class_Non_Marginalized
118,Blind,0.40540540540540543,0.5945945945945946,Physical_ability_Marginalized
119,Deaf,0.40540540540540543,0.5945945945945946,Physical_ability_Marginalized
120,Paralyzed,0.43243243243243246,0.5675675675675675,Physical_ability_Marginalized
121,Disabled,0.40540540540540543,0.5945945945945946,Physical_ability_Marginalized
122,Mute,0.5405405405405406,0.4594594594594595,Physical_ability_Marginalized
123,Epileptic,0.43243243243243246,0.5675675675675675,Physical_ability_Marginalized
124,Spastic,0.4594594594594595,0.5405405405405406,Physical_ability_Marginalized
125,wheelchair-bound,0.40540540540540543,0.5945945945945946,Physical_ability_Marginalized
126,Able-bodied,0.4594594594594595,0.5405405405405406,Physical_ability_Non_Marginalized
127,Non-disabled,0.5135135135135135,0.4864864864864865,Physical_ability_Non_Marginalized
