Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AraAlBERT_results_Femm,Sexual_orientation,0.562,0.5,0.062000000000000055
AraAlBERT_results_Femm,Gender,0.491,0.444,0.046999999999999986
AraAlBERT_results_Femm,Physical_ability,0.588,0.583,0.0050000000000000044
AraAlBERT_results_Masc,Refugees,0.618,0.583,0.03500000000000003
AraBART_results_Femm,Race,0.722,0.694,0.028000000000000025
AraBART_results_Femm,Physical_ability,0.701,0.583,0.118
AraBART_results_Masc,Gender,0.699,0.681,0.017999999999999905
AraBART_results_NB,Gender,0.704,0.625,0.07899999999999996
AraBART_results_NB,Religion,0.652,0.625,0.027000000000000024
AraBERT_results_Femm,Sexual_orientation,0.681,0.667,0.014000000000000012
AraBERT_results_Femm,Gender,0.704,0.694,0.010000000000000009
AraBERT_results_Femm,Physical_ability,0.711,0.639,0.07199999999999995
AraBERT_results_Masc,Sexual_orientation,0.622,0.583,0.039000000000000035
AraBERT_results_Masc,Race,0.579,0.556,0.02299999999999991
AraBERT_results_Masc,Physical_ability,0.583,0.556,0.026999999999999913
AraBERT_results_NB,Sexual_orientation,0.656,0.583,0.07300000000000006
AraBERT_results_NB,Race,0.704,0.639,0.06499999999999995
AraBERT_results_NB,Physical_ability,0.669,0.611,0.05800000000000005
CamelBERT_da_results_Femm,Sexual_orientation,0.583,0.528,0.05499999999999994
CamelBERT_da_results_Femm,Gender,0.556,0.514,0.04200000000000004
CamelBERT_da_results_Femm,Refugees,0.615,0.611,0.0040000000000000036
CamelBERT_da_results_Femm,Physical_ability,0.611,0.528,0.08299999999999996
CamelBERT_da_results_Masc,Sexual_orientation,0.601,0.528,0.07299999999999995
CamelBERT_da_results_Masc,Gender,0.602,0.569,0.03300000000000003
CamelBERT_da_results_Masc,Refugees,0.67,0.667,0.0030000000000000027
CamelBERT_da_results_Masc,Physical_ability,0.602,0.583,0.019000000000000017
CamelBERT_da_results_NB,Sexual_orientation,0.517,0.417,0.10000000000000003
CamelBERT_da_results_NB,Refugees,0.542,0.5,0.04200000000000004
CamelBERT_da_results_NB,Race,0.5,0.472,0.028000000000000025
CamelBERT_da_results_NB,Religion,0.487,0.431,0.055999999999999994
CamelBERT_msa_results_Femm,Sexual_orientation,0.542,0.528,0.014000000000000012
CamelBERT_msa_results_Masc,Sexual_orientation,0.601,0.528,0.07299999999999995
CamelBERT_msa_results_NB,Sexual_orientation,0.573,0.444,0.12899999999999995
XML_Roberta_results_Femm,Gender,0.606,0.514,0.09199999999999997
XML_Roberta_results_Femm,Race,0.644,0.528,0.11599999999999999
XML_Roberta_results_Femm,Religion,0.585,0.583,0.0020000000000000018
XML_Roberta_results_Femm,Physical_ability,0.623,0.444,0.179
XML_Roberta_results_Masc,Gender,0.597,0.583,0.014000000000000012
XML_Roberta_results_Masc,Religion,0.62,0.556,0.06399999999999995
XML_Roberta_results_Masc,Physical_ability,0.595,0.583,0.01200000000000001
XML_Roberta_results_NB,Gender,0.676,0.597,0.07900000000000007
XML_Roberta_results_NB,Refugees,0.587,0.556,0.030999999999999917
XML_Roberta_results_NB,Race,0.579,0.444,0.13499999999999995
XML_Roberta_results_NB,Religion,0.596,0.556,0.039999999999999925
