Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AraAlBERT_results_Femm,Refugees,0.552,0.694,-0.1419999999999999
AraAlBERT_results_Femm,Race,0.5,0.639,-0.139
AraAlBERT_results_Femm,Religion,0.521,0.556,-0.03500000000000003
AraAlBERT_results_Masc,Sexual_orientation,0.625,0.694,-0.06899999999999995
AraAlBERT_results_Masc,Gender,0.519,0.556,-0.03700000000000003
AraAlBERT_results_Masc,Race,0.588,0.639,-0.051000000000000045
AraAlBERT_results_Masc,Religion,0.573,0.625,-0.052000000000000046
AraAlBERT_results_Masc,Physical_ability,0.553,0.639,-0.08599999999999997
AraAlBERT_results_NB,Sexual_orientation,0.576,0.583,-0.007000000000000006
AraAlBERT_results_NB,Gender,0.528,0.611,-0.08299999999999996
AraAlBERT_results_NB,Refugees,0.566,0.639,-0.07300000000000006
AraAlBERT_results_NB,Race,0.574,0.583,-0.009000000000000008
AraAlBERT_results_NB,Religion,0.534,0.597,-0.06299999999999994
AraAlBERT_results_NB,Physical_ability,0.539,0.556,-0.017000000000000015
AraBART_results_Femm,Sexual_orientation,0.726,0.778,-0.052000000000000046
AraBART_results_Femm,Gender,0.69,0.708,-0.018000000000000016
AraBART_results_Femm,Refugees,0.681,0.694,-0.0129999999999999
AraBART_results_Femm,Religion,0.701,0.722,-0.02100000000000002
AraBART_results_Masc,Sexual_orientation,0.74,0.833,-0.09299999999999997
AraBART_results_Masc,Refugees,0.726,0.778,-0.052000000000000046
AraBART_results_Masc,Religion,0.72,0.806,-0.08600000000000008
AraBART_results_Masc,Physical_ability,0.771,0.778,-0.007000000000000006
AraBART_results_NB,Sexual_orientation,0.726,0.778,-0.052000000000000046
AraBART_results_NB,Race,0.634,0.694,-0.05999999999999994
AraBART_results_NB,Physical_ability,0.639,0.778,-0.139
AraBERT_results_Femm,Refugees,0.67,0.722,-0.051999999999999935
AraBERT_results_Femm,Race,0.662,0.722,-0.05999999999999994
AraBERT_results_Femm,Religion,0.707,0.736,-0.029000000000000026
AraBERT_results_Masc,Gender,0.583,0.708,-0.125
AraBERT_results_Masc,Refugees,0.618,0.639,-0.02100000000000002
AraBERT_results_Masc,Religion,0.615,0.667,-0.052000000000000046
AraBERT_results_NB,Gender,0.56,0.653,-0.09299999999999997
AraBERT_results_NB,Refugees,0.677,0.778,-0.10099999999999998
AraBERT_results_NB,Religion,0.679,0.722,-0.04299999999999993
CamelBERT_da_results_Femm,Race,0.551,0.667,-0.11599999999999999
CamelBERT_da_results_Femm,Religion,0.59,0.625,-0.03500000000000003
CamelBERT_da_results_Masc,Race,0.634,0.667,-0.03300000000000003
CamelBERT_da_results_Masc,Religion,0.635,0.667,-0.03200000000000003
CamelBERT_da_results_NB,Gender,0.56,0.569,-0.008999999999999897
CamelBERT_da_results_NB,Physical_ability,0.542,0.556,-0.014000000000000012
CamelBERT_msa_results_Femm,Gender,0.551,0.583,-0.03199999999999992
CamelBERT_msa_results_Femm,Refugees,0.552,0.556,-0.0040000000000000036
CamelBERT_msa_results_Femm,Race,0.583,0.611,-0.028000000000000025
CamelBERT_msa_results_Femm,Religion,0.549,0.611,-0.061999999999999944
CamelBERT_msa_results_Femm,Physical_ability,0.542,0.611,-0.06899999999999995
CamelBERT_msa_results_Masc,Gender,0.556,0.611,-0.05499999999999994
CamelBERT_msa_results_Masc,Refugees,0.642,0.667,-0.025000000000000022
CamelBERT_msa_results_Masc,Race,0.62,0.722,-0.10199999999999998
CamelBERT_msa_results_Masc,Religion,0.635,0.681,-0.04600000000000004
CamelBERT_msa_results_Masc,Physical_ability,0.567,0.75,-0.18300000000000005
CamelBERT_msa_results_NB,Gender,0.611,0.625,-0.014000000000000012
CamelBERT_msa_results_NB,Race,0.657,0.667,-0.010000000000000009
CamelBERT_msa_results_NB,Religion,0.596,0.597,-0.0010000000000000009
CamelBERT_msa_results_NB,Physical_ability,0.606,0.667,-0.061000000000000054
XML_Roberta_results_Femm,Sexual_orientation,0.611,0.694,-0.08299999999999996
XML_Roberta_results_Femm,Refugees,0.573,0.583,-0.010000000000000009
XML_Roberta_results_Masc,Sexual_orientation,0.566,0.639,-0.07300000000000006
XML_Roberta_results_Masc,Refugees,0.573,0.611,-0.038000000000000034
XML_Roberta_results_Masc,Race,0.616,0.639,-0.02300000000000002
XML_Roberta_results_NB,Sexual_orientation,0.59,0.639,-0.049000000000000044
XML_Roberta_results_NB,Physical_ability,0.574,0.667,-0.09300000000000008
