Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores
AraAlBERT_results_Femm,Sexual_orientation,0.45,0.571
AraAlBERT_results_Femm,Gender,0.433,0.4
AraAlBERT_results_Femm,Race,0.415,0.571
AraAlBERT_results_Femm,Religion,0.432,0.543
AraAlBERT_results_Femm,Physical_ability,0.44,0.429
AraAlBERT_results_Masc,Sexual_orientation,0.514,0.571
AraAlBERT_results_Masc,Gender,0.481,0.486
AraAlBERT_results_Masc,Race,0.413,0.286
AraAlBERT_results_Masc,Religion,0.389,0.471
AraAlBERT_results_Masc,Physical_ability,0.471,0.514
AraAlBERT_results_NB,Sexual_orientation,0.496,0.514
AraAlBERT_results_NB,Gender,0.429,0.5
AraAlBERT_results_NB,Race,0.347,0.371
AraAlBERT_results_NB,Religion,0.339,0.429
AraAlBERT_results_NB,Physical_ability,0.381,0.457
AraBART_results_Femm,Sexual_orientation,0.482,0.543
AraBART_results_Femm,Gender,0.381,0.5
AraBART_results_Femm,Race,0.524,0.6
AraBART_results_Femm,Religion,0.511,0.486
AraBART_results_Femm,Physical_ability,0.529,0.429
AraBART_results_Masc,Sexual_orientation,0.482,0.6
AraBART_results_Masc,Gender,0.471,0.543
AraBART_results_Masc,Race,0.486,0.4
AraBART_results_Masc,Religion,0.459,0.429
AraBART_results_Masc,Physical_ability,0.464,0.514
AraBART_results_NB,Sexual_orientation,0.529,0.6
AraBART_results_NB,Gender,0.49,0.514
AraBART_results_NB,Race,0.543,0.6
AraBART_results_NB,Religion,0.525,0.586
AraBART_results_NB,Physical_ability,0.531,0.571
AraBERT_results_Femm,Sexual_orientation,0.568,0.514
AraBERT_results_Femm,Gender,0.61,0.757
AraBERT_results_Femm,Race,0.57,0.571
AraBERT_results_Femm,Religion,0.548,0.514
AraBERT_results_Femm,Physical_ability,0.56,0.571
AraBERT_results_Masc,Sexual_orientation,0.625,0.571
AraBERT_results_Masc,Gender,0.629,0.786
AraBERT_results_Masc,Race,0.562,0.543
AraBERT_results_Masc,Religion,0.577,0.529
AraBERT_results_Masc,Physical_ability,0.631,0.714
AraBERT_results_NB,Sexual_orientation,0.646,0.514
AraBERT_results_NB,Gender,0.686,0.657
AraBERT_results_NB,Race,0.682,0.743
AraBERT_results_NB,Religion,0.696,0.714
AraBERT_results_NB,Physical_ability,0.724,0.8
CamelBERT_da_results_Femm,Sexual_orientation,0.329,0.286
CamelBERT_da_results_Femm,Gender,0.343,0.343
CamelBERT_da_results_Femm,Race,0.368,0.543
CamelBERT_da_results_Femm,Religion,0.423,0.457
CamelBERT_da_results_Femm,Physical_ability,0.4,0.457
CamelBERT_da_results_Masc,Sexual_orientation,0.282,0.314
CamelBERT_da_results_Masc,Gender,0.271,0.214
CamelBERT_da_results_Masc,Race,0.362,0.343
CamelBERT_da_results_Masc,Religion,0.296,0.2
CamelBERT_da_results_Masc,Physical_ability,0.355,0.257
CamelBERT_da_results_NB,Sexual_orientation,0.336,0.371
CamelBERT_da_results_NB,Gender,0.371,0.257
CamelBERT_da_results_NB,Race,0.333,0.314
CamelBERT_da_results_NB,Religion,0.302,0.229
CamelBERT_da_results_NB,Physical_ability,0.35,0.314
CamelBERT_msa_results_Femm,Sexual_orientation,0.543,0.514
CamelBERT_msa_results_Femm,Gender,0.543,0.714
CamelBERT_msa_results_Femm,Race,0.423,0.629
CamelBERT_msa_results_Femm,Religion,0.473,0.514
CamelBERT_msa_results_Femm,Physical_ability,0.421,0.571
CamelBERT_msa_results_Masc,Sexual_orientation,0.568,0.514
CamelBERT_msa_results_Masc,Gender,0.667,0.629
CamelBERT_msa_results_Masc,Race,0.577,0.771
CamelBERT_msa_results_Masc,Religion,0.571,0.6
CamelBERT_msa_results_Masc,Physical_ability,0.562,0.629
CamelBERT_msa_results_NB,Sexual_orientation,0.564,0.457
CamelBERT_msa_results_NB,Gender,0.638,0.614
CamelBERT_msa_results_NB,Race,0.606,0.6
CamelBERT_msa_results_NB,Religion,0.618,0.557
CamelBERT_msa_results_NB,Physical_ability,0.607,0.629
XML_Roberta_results_Femm,Sexual_orientation,0.411,0.343
XML_Roberta_results_Femm,Gender,0.538,0.471
XML_Roberta_results_Femm,Race,0.408,0.543
XML_Roberta_results_Femm,Religion,0.438,0.486
XML_Roberta_results_Femm,Physical_ability,0.417,0.571
XML_Roberta_results_Masc,Sexual_orientation,0.654,0.657
XML_Roberta_results_Masc,Gender,0.733,0.571
XML_Roberta_results_Masc,Race,0.632,0.629
XML_Roberta_results_Masc,Religion,0.621,0.614
XML_Roberta_results_Masc,Physical_ability,0.638,0.771
XML_Roberta_results_NB,Sexual_orientation,0.604,0.657
XML_Roberta_results_NB,Gender,0.69,0.586
XML_Roberta_results_NB,Race,0.579,0.629
XML_Roberta_results_NB,Religion,0.607,0.6
XML_Roberta_results_NB,Physical_ability,0.569,0.714
