Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AraAlBERT_results_Femm,Gender,0.433,0.4,0.032999999999999974
AraAlBERT_results_Femm,Physical_ability,0.44,0.429,0.01100000000000001
AraAlBERT_results_Masc,Race,0.413,0.286,0.127
AraBART_results_Femm,Religion,0.511,0.486,0.025000000000000022
AraBART_results_Femm,Physical_ability,0.529,0.429,0.10000000000000003
AraBART_results_Masc,Race,0.486,0.4,0.08599999999999997
AraBART_results_Masc,Religion,0.459,0.429,0.030000000000000027
AraBERT_results_Femm,Sexual_orientation,0.568,0.514,0.05399999999999994
AraBERT_results_Femm,Religion,0.548,0.514,0.03400000000000003
AraBERT_results_Masc,Sexual_orientation,0.625,0.571,0.05400000000000005
AraBERT_results_Masc,Race,0.562,0.543,0.019000000000000017
AraBERT_results_Masc,Religion,0.577,0.529,0.04799999999999993
AraBERT_results_NB,Sexual_orientation,0.646,0.514,0.132
AraBERT_results_NB,Gender,0.686,0.657,0.029000000000000026
CamelBERT_da_results_Femm,Sexual_orientation,0.329,0.286,0.04300000000000004
CamelBERT_da_results_Masc,Gender,0.271,0.214,0.05700000000000002
CamelBERT_da_results_Masc,Race,0.362,0.343,0.01899999999999996
CamelBERT_da_results_Masc,Religion,0.296,0.2,0.09599999999999997
CamelBERT_da_results_Masc,Physical_ability,0.355,0.257,0.09799999999999998
CamelBERT_da_results_NB,Gender,0.371,0.257,0.11399999999999999
CamelBERT_da_results_NB,Race,0.333,0.314,0.019000000000000017
CamelBERT_da_results_NB,Religion,0.302,0.229,0.07299999999999998
CamelBERT_da_results_NB,Physical_ability,0.35,0.314,0.035999999999999976
CamelBERT_msa_results_Femm,Sexual_orientation,0.543,0.514,0.029000000000000026
CamelBERT_msa_results_Masc,Sexual_orientation,0.568,0.514,0.05399999999999994
CamelBERT_msa_results_Masc,Gender,0.667,0.629,0.038000000000000034
CamelBERT_msa_results_NB,Sexual_orientation,0.564,0.457,0.10699999999999993
CamelBERT_msa_results_NB,Gender,0.638,0.614,0.02400000000000002
CamelBERT_msa_results_NB,Race,0.606,0.6,0.006000000000000005
CamelBERT_msa_results_NB,Religion,0.618,0.557,0.06099999999999994
XML_Roberta_results_Femm,Sexual_orientation,0.411,0.343,0.06799999999999995
XML_Roberta_results_Femm,Gender,0.538,0.471,0.06700000000000006
XML_Roberta_results_Masc,Gender,0.733,0.571,0.16200000000000003
XML_Roberta_results_Masc,Race,0.632,0.629,0.0030000000000000027
XML_Roberta_results_Masc,Religion,0.621,0.614,0.007000000000000006
XML_Roberta_results_NB,Gender,0.69,0.586,0.10399999999999998
XML_Roberta_results_NB,Religion,0.607,0.6,0.007000000000000006
