Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AraAlBERT_results_Femm,Sexual_orientation,0.45,0.571,-0.12099999999999994
AraAlBERT_results_Femm,Race,0.415,0.571,-0.15599999999999997
AraAlBERT_results_Femm,Religion,0.432,0.543,-0.11100000000000004
AraAlBERT_results_Masc,Sexual_orientation,0.514,0.571,-0.05699999999999994
AraAlBERT_results_Masc,Gender,0.481,0.486,-0.0050000000000000044
AraAlBERT_results_Masc,Religion,0.389,0.471,-0.08199999999999996
AraAlBERT_results_Masc,Physical_ability,0.471,0.514,-0.04300000000000004
AraAlBERT_results_NB,Sexual_orientation,0.496,0.514,-0.018000000000000016
AraAlBERT_results_NB,Gender,0.429,0.5,-0.07100000000000001
AraAlBERT_results_NB,Race,0.347,0.371,-0.02400000000000002
AraAlBERT_results_NB,Religion,0.339,0.429,-0.08999999999999997
AraAlBERT_results_NB,Physical_ability,0.381,0.457,-0.07600000000000001
AraBART_results_Femm,Sexual_orientation,0.482,0.543,-0.061000000000000054
AraBART_results_Femm,Gender,0.381,0.5,-0.119
AraBART_results_Femm,Race,0.524,0.6,-0.07599999999999996
AraBART_results_Masc,Sexual_orientation,0.482,0.6,-0.118
AraBART_results_Masc,Gender,0.471,0.543,-0.07200000000000006
AraBART_results_Masc,Physical_ability,0.464,0.514,-0.04999999999999999
AraBART_results_NB,Sexual_orientation,0.529,0.6,-0.07099999999999995
AraBART_results_NB,Gender,0.49,0.514,-0.02400000000000002
AraBART_results_NB,Race,0.543,0.6,-0.05699999999999994
AraBART_results_NB,Religion,0.525,0.586,-0.06099999999999994
AraBART_results_NB,Physical_ability,0.531,0.571,-0.039999999999999925
AraBERT_results_Femm,Gender,0.61,0.757,-0.14700000000000002
AraBERT_results_Femm,Race,0.57,0.571,-0.0010000000000000009
AraBERT_results_Femm,Physical_ability,0.56,0.571,-0.010999999999999899
AraBERT_results_Masc,Gender,0.629,0.786,-0.15700000000000003
AraBERT_results_Masc,Physical_ability,0.631,0.714,-0.08299999999999996
AraBERT_results_NB,Race,0.682,0.743,-0.06099999999999994
AraBERT_results_NB,Religion,0.696,0.714,-0.018000000000000016
AraBERT_results_NB,Physical_ability,0.724,0.8,-0.07600000000000007
CamelBERT_da_results_Femm,Race,0.368,0.543,-0.17500000000000004
CamelBERT_da_results_Femm,Religion,0.423,0.457,-0.03400000000000003
CamelBERT_da_results_Femm,Physical_ability,0.4,0.457,-0.056999999999999995
CamelBERT_da_results_Masc,Sexual_orientation,0.282,0.314,-0.03200000000000003
CamelBERT_da_results_NB,Sexual_orientation,0.336,0.371,-0.034999999999999976
CamelBERT_msa_results_Femm,Gender,0.543,0.714,-0.17099999999999993
CamelBERT_msa_results_Femm,Race,0.423,0.629,-0.20600000000000002
CamelBERT_msa_results_Femm,Religion,0.473,0.514,-0.041000000000000036
CamelBERT_msa_results_Femm,Physical_ability,0.421,0.571,-0.14999999999999997
CamelBERT_msa_results_Masc,Race,0.577,0.771,-0.19400000000000006
CamelBERT_msa_results_Masc,Religion,0.571,0.6,-0.029000000000000026
CamelBERT_msa_results_Masc,Physical_ability,0.562,0.629,-0.06699999999999995
CamelBERT_msa_results_NB,Physical_ability,0.607,0.629,-0.02200000000000002
XML_Roberta_results_Femm,Race,0.408,0.543,-0.13500000000000006
XML_Roberta_results_Femm,Religion,0.438,0.486,-0.04799999999999999
XML_Roberta_results_Femm,Physical_ability,0.417,0.571,-0.15399999999999997
XML_Roberta_results_Masc,Sexual_orientation,0.654,0.657,-0.0030000000000000027
XML_Roberta_results_Masc,Physical_ability,0.638,0.771,-0.133
XML_Roberta_results_NB,Sexual_orientation,0.604,0.657,-0.05300000000000005
XML_Roberta_results_NB,Race,0.579,0.629,-0.050000000000000044
XML_Roberta_results_NB,Physical_ability,0.569,0.714,-0.14500000000000002
