Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
BERT_results_Femm,Gender,0.583,0.622,-0.039000000000000035
BERT_results_Femm,Physical_ability,0.522,0.527,-0.0050000000000000044
BERT_results_Masc,Sexual_orientation,0.627,0.676,-0.049000000000000044
BERT_results_Masc,Gender,0.64,0.689,-0.04899999999999993
BERT_results_Masc,Physical_ability,0.532,0.554,-0.02200000000000002
BERT_results_NB,Religion,0.667,0.696,-0.028999999999999915
BERT_results_NB,Physical_ability,0.584,0.635,-0.051000000000000045
BART_results_Femm,Refugees,0.476,0.649,-0.17300000000000004
BART_results_Masc,Physical_ability,0.551,0.581,-0.029999999999999916
BART_results_NB,Gender,0.571,0.608,-0.03700000000000003
BART_results_NB,Race,0.552,0.581,-0.028999999999999915
BART_results_NB,Physical_ability,0.584,0.595,-0.01100000000000001
XLM_RoBERTa_German_results_Femm,Gender,0.396,0.459,-0.063
XLM_RoBERTa_German_results_Femm,Religion,0.411,0.453,-0.04200000000000004
XLM_RoBERTa_German_results_Femm,Physical_ability,0.414,0.446,-0.03200000000000003
XLM_RoBERTa_German_results_Masc,Religion,0.402,0.439,-0.03699999999999998
XLM_RoBERTa_German_results_Masc,Physical_ability,0.341,0.459,-0.118
XLM_RoBERTa_German_results_NB,Gender,0.471,0.568,-0.09699999999999998
XLM_RoBERTa_German_results_NB,Race,0.517,0.527,-0.010000000000000009
XML_Roberta_results_Femm,Gender,0.511,0.595,-0.08399999999999996
XML_Roberta_results_Femm,Race,0.622,0.716,-0.09399999999999997
XML_Roberta_results_Femm,Religion,0.538,0.642,-0.10399999999999998
XML_Roberta_results_Masc,Gender,0.511,0.676,-0.16500000000000004
XML_Roberta_results_Masc,Refugees,0.551,0.676,-0.125
XML_Roberta_results_Masc,Race,0.606,0.622,-0.016000000000000014
XML_Roberta_results_Masc,Religion,0.52,0.615,-0.09499999999999997
XML_Roberta_results_Masc,Physical_ability,0.541,0.608,-0.06699999999999995
XML_Roberta_results_NB,Gender,0.441,0.486,-0.044999999999999984
XML_Roberta_results_NB,Refugees,0.486,0.568,-0.08199999999999996
XML_Roberta_results_NB,Race,0.494,0.568,-0.07399999999999995
XML_Roberta_results_NB,Religion,0.471,0.5,-0.029000000000000026
