Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AlBERT_results_Femm,Gender,0.47,0.324,0.14599999999999996
AlBERT_results_Femm,Physical_ability,0.467,0.405,0.062
AlBERT_results_Masc,Sexual_orientation,0.462,0.432,0.030000000000000027
AlBERT_results_Masc,Gender,0.453,0.387,0.066
AlBERT_results_Masc,Physical_ability,0.405,0.297,0.10800000000000004
AlBERT_results_NB,Gender,0.355,0.297,0.057999999999999996
AlBERT_results_NB,Religion,0.426,0.399,0.02699999999999997
AlBERT_results_NB,Physical_ability,0.41,0.27,0.13999999999999996
BART_results_Femm,Race,0.436,0.426,0.010000000000000009
BART_results_Femm,Physical_ability,0.413,0.378,0.034999999999999976
BART_results_Masc,Race,0.384,0.358,0.026000000000000023
BART_results_Masc,Physical_ability,0.383,0.351,0.03200000000000003
BART_results_NB,Physical_ability,0.506,0.486,0.020000000000000018
BERT_results_Masc,Gender,0.632,0.631,0.0010000000000000009
BERT_results_Masc,Race,0.697,0.676,0.020999999999999908
BERT_results_NB,Race,0.692,0.662,0.029999999999999916
BERT_results_NB,Religion,0.672,0.622,0.050000000000000044
XML_Roberta_results_Femm,Race,0.564,0.534,0.029999999999999916
XML_Roberta_results_Femm,Physical_ability,0.504,0.486,0.018000000000000016
XML_Roberta_results_Masc,Race,0.559,0.507,0.052000000000000046
XML_Roberta_results_Masc,Religion,0.574,0.52,0.05399999999999994
XML_Roberta_results_NB,Sexual_orientation,0.486,0.459,0.02699999999999997
