Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores,Mar_mins_Non_Mar
AlBERT_results_Femm,Race,0.413,0.466,-0.05300000000000005
AlBERT_results_Femm,Religion,0.526,0.608,-0.08199999999999996
AlBERT_results_Masc,Race,0.366,0.399,-0.03300000000000003
AlBERT_results_Masc,Religion,0.498,0.561,-0.06300000000000006
AlBERT_results_NB,Sexual_orientation,0.318,0.365,-0.046999999999999986
AlBERT_results_NB,Race,0.326,0.338,-0.01200000000000001
BART_results_Femm,Gender,0.426,0.459,-0.03300000000000003
BART_results_Femm,Religion,0.421,0.466,-0.04500000000000004
BART_results_Masc,Sexual_orientation,0.405,0.426,-0.020999999999999963
BART_results_Masc,Gender,0.355,0.396,-0.041000000000000036
BART_results_Masc,Religion,0.39,0.48,-0.08999999999999997
BART_results_NB,Sexual_orientation,0.502,0.514,-0.01200000000000001
BART_results_NB,Gender,0.456,0.486,-0.02999999999999997
BART_results_NB,Race,0.494,0.554,-0.06000000000000005
BART_results_NB,Religion,0.525,0.574,-0.04899999999999993
BERT_results_Femm,Sexual_orientation,0.634,0.649,-0.015000000000000013
BERT_results_Femm,Gender,0.611,0.649,-0.038000000000000034
BERT_results_Femm,Race,0.645,0.676,-0.031000000000000028
BERT_results_Femm,Religion,0.661,0.662,-0.0010000000000000009
BERT_results_Femm,Physical_ability,0.636,0.703,-0.06699999999999995
BERT_results_Masc,Sexual_orientation,0.649,0.669,-0.020000000000000018
BERT_results_Masc,Religion,0.663,0.703,-0.039999999999999925
BERT_results_Masc,Physical_ability,0.654,0.757,-0.10299999999999998
BERT_results_NB,Sexual_orientation,0.673,0.696,-0.02299999999999991
BERT_results_NB,Gender,0.669,0.676,-0.007000000000000006
BERT_results_NB,Physical_ability,0.661,0.757,-0.09599999999999997
XML_Roberta_results_Femm,Sexual_orientation,0.544,0.574,-0.029999999999999916
XML_Roberta_results_Femm,Gender,0.48,0.523,-0.04300000000000004
XML_Roberta_results_Femm,Religion,0.525,0.541,-0.016000000000000014
XML_Roberta_results_Masc,Sexual_orientation,0.502,0.514,-0.01200000000000001
XML_Roberta_results_Masc,Gender,0.463,0.559,-0.09600000000000003
XML_Roberta_results_Masc,Physical_ability,0.457,0.649,-0.192
XML_Roberta_results_NB,Gender,0.446,0.523,-0.07700000000000001
XML_Roberta_results_NB,Race,0.506,0.561,-0.05500000000000005
XML_Roberta_results_NB,Religion,0.518,0.541,-0.02300000000000002
XML_Roberta_results_NB,Physical_ability,0.472,0.568,-0.09599999999999997
