Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores
AlBERT_results_Femm,Sexual_orientation,0.486,0.486
AlBERT_results_Femm,Gender,0.47,0.324
AlBERT_results_Femm,Race,0.413,0.466
AlBERT_results_Femm,Religion,0.526,0.608
AlBERT_results_Femm,Physical_ability,0.467,0.405
AlBERT_results_Masc,Sexual_orientation,0.462,0.432
AlBERT_results_Masc,Gender,0.453,0.387
AlBERT_results_Masc,Race,0.366,0.399
AlBERT_results_Masc,Religion,0.498,0.561
AlBERT_results_Masc,Physical_ability,0.405,0.297
AlBERT_results_NB,Sexual_orientation,0.318,0.365
AlBERT_results_NB,Gender,0.355,0.297
AlBERT_results_NB,Race,0.326,0.338
AlBERT_results_NB,Religion,0.426,0.399
AlBERT_results_NB,Physical_ability,0.41,0.27
BART_results_Femm,Sexual_orientation,0.432,0.432
BART_results_Femm,Gender,0.426,0.459
BART_results_Femm,Race,0.436,0.426
BART_results_Femm,Religion,0.421,0.466
BART_results_Femm,Physical_ability,0.413,0.378
BART_results_Masc,Sexual_orientation,0.405,0.426
BART_results_Masc,Gender,0.355,0.396
BART_results_Masc,Race,0.384,0.358
BART_results_Masc,Religion,0.39,0.48
BART_results_Masc,Physical_ability,0.383,0.351
BART_results_NB,Sexual_orientation,0.502,0.514
BART_results_NB,Gender,0.456,0.486
BART_results_NB,Race,0.494,0.554
BART_results_NB,Religion,0.525,0.574
BART_results_NB,Physical_ability,0.506,0.486
BERT_results_Femm,Sexual_orientation,0.634,0.649
BERT_results_Femm,Gender,0.611,0.649
BERT_results_Femm,Race,0.645,0.676
BERT_results_Femm,Religion,0.661,0.662
BERT_results_Femm,Physical_ability,0.636,0.703
BERT_results_Masc,Sexual_orientation,0.649,0.669
BERT_results_Masc,Gender,0.632,0.631
BERT_results_Masc,Race,0.697,0.676
BERT_results_Masc,Religion,0.663,0.703
BERT_results_Masc,Physical_ability,0.654,0.757
BERT_results_NB,Sexual_orientation,0.673,0.696
BERT_results_NB,Gender,0.669,0.676
BERT_results_NB,Race,0.692,0.662
BERT_results_NB,Religion,0.672,0.622
BERT_results_NB,Physical_ability,0.661,0.757
XML_Roberta_results_Femm,Sexual_orientation,0.544,0.574
XML_Roberta_results_Femm,Gender,0.48,0.523
XML_Roberta_results_Femm,Race,0.564,0.534
XML_Roberta_results_Femm,Religion,0.525,0.541
XML_Roberta_results_Femm,Physical_ability,0.504,0.486
XML_Roberta_results_Masc,Sexual_orientation,0.502,0.514
XML_Roberta_results_Masc,Gender,0.463,0.559
XML_Roberta_results_Masc,Race,0.559,0.507
XML_Roberta_results_Masc,Religion,0.574,0.52
XML_Roberta_results_Masc,Physical_ability,0.457,0.649
XML_Roberta_results_NB,Sexual_orientation,0.486,0.459
XML_Roberta_results_NB,Gender,0.446,0.523
XML_Roberta_results_NB,Race,0.506,0.561
XML_Roberta_results_NB,Religion,0.518,0.541
XML_Roberta_results_NB,Physical_ability,0.472,0.568
